Name	Mean	Distribution	Param1	Param2	Param3
P.onset	0.0000098400	7	0.0000098400000	0.0000009520000	0.0000100000000
P.onset_low.risk	0.6520000000	7	0.6520000000000	0.0459000000000	0.6000000000000
RR.manufacture	1.9900000000	3	0.6881346387364	0.2507383667216	1.9900000000000
RR.past_smoke	2.1744970000	3	0.7767973734271	0.3838494060636	2.1744970000000
RR.current_smoke	5.9977460000	3	1.7913837319810	0.1199059173939	5.9977460000000
RR.All.Death.past_smoke	1.2000000000	3	0.1823215567940	0.0255319636857	1.2000000000000
RR.All.Death.current_smoke	2.7600000000	3	1.0152306797291	0.0092440087522	2.7600000000000
P.quit.smoke	0.0167000000	7	0.0167000000000	0.0004052371343	0.0167000000000
P.onset_age	1.1100000000	5	1.1100000000000	0.0071500000000	1.1200000000000
RR.onset_sex	3.7500000000	5	3.7500000000000	0.8660000000000	3.2500000000000
P.sympt.diag_LGBC	0.2340000000	7	0.2340000000000	0.0663000000000	0.2370499650000
P.sympt.diag_t_HGBC	0.1210000000	7	0.1210000000000	0.0075300000000	0.1211288600000
P.sympt.diag_HGBC	0.2270000000	7	0.2270000000000	0.0025000000000	0.2285469510000
P.sympt.diag_Age_HGBC	0.8760000000	5	0.8760000000000	0.0922000000000	0.9700000000000
C.age.80.undiag.mort	0.0550000000	4	0.0100000000000	0.1000000000000	0.0550000000000
Mean.t.StI.StII	3.0000000000	6	3.0000000000000	3.0000000000000	3.0000000000000
Mean.t.StII.StIII	2.0000000000	6	2.0000000000000	2.0000000000000	2.0000000000000
Mean.t.StIII.StIV	1.0000000000	6	1.0000000000000	1.0000000000000	1.0000000000000
RR.All.Death.no_smoke	0.7547219000	5	0.7547219000000	0.0013606011795	0.7547219000000
shape.t.StI.StII	0.6620000000	7	0.6620000000000	0.0558000000000	0.7225001590000
shape.t.StII.StIII	0.7660000000	7	0.7660000000000	0.1220000000000	0.6677821480000
shape.t.StIII.StIV	0.4230000000	7	0.4230000000000	0.0884000000000	0.4711658560000
P.LGtoHGBC	0.0044000000	7	0.0044000000000	0.0007330000000	0.0045000000000
