Name	Mean	Distribution	Param1	Param2	Param3
RR.All.Death.past_smoke	1.2	3	0.182321557	0.025531964	1.2
RR.All.Death.current_smoke	2.76	3	1.01523068	0.009244009	2.76
RR.All.Death.no_smoke	0.7547219	5	0.7547219	0.001360601	0.7547219
P.quit.smoke	0.0167	7	0.0167	0.000405237	0.0167
DT.UPTK.CONS	0.709575854	5	0.709575854	0.044760529	0.709575854
DT.UPTK.50	-0.364687526	5	-0.364687526	0.00060958	-0.364687526
DT.UPTK.55	-0.251564113	5	-0.251564113	0.000183035	-0.251564113
DT.UPTK.65	-0.116533816	5	-0.116533816	0.005732977	-0.116533816
DT.UPTK.70	-0.235722334	5	-0.235722334	0.006458743	-0.235722334
DT.UPTK.F	0.139761942	5	0.139761942	0.004436751	0.139761942
DT.UPTK.NRESP	-1.832581464	5	-1.832581464	0.008048198	-1.832581464
DT.UPTK.INC	1.87946505	5	1.87946505	0.003535023	1.87946505
DT.UPTK.IMD2	-0.072570693	5	-0.072570693	0.008274457	-0.072570693
DT.UPTK.IMD3	-0.15082289	5	-0.15082289	0.008848519	-0.15082289
DT.UPTK.IMD4	-0.287682072	5	-0.287682072	0.010274143	-0.287682072
DT.UPTK.IMD5	-0.597837001	5	-0.597837001	0.004680989	-0.597837001
DT.UPTK.ASIAN	-0.940572304	5	-0.940572304	0.052558949	-0.940572304
Diag.UPTK	1	6	1	0	1
Utility.age	0.00432	5	0.00432	0.00014286	0.00432
Cost.diag.sympt	612.14	2	100	6.1214	612.14
Cost.diag.screen1	135.39	2	100	1.3539	135.39
Cost.diag.screen2	534.96	2	100	5.3496	534.96
Cost.dipstick.invite	8.57	2	100	0.0857	8.57
Cost.ad.dipstick	1.3	2	100	0.013	1.3
Cost.dipstick.positive	11.8	2	100	0.118	11.8
Cost.dipstick	3.86	2	100	0.0386	3.86
