inc1.male_lb	inc2.male_lb	inc3.male_lb	inc4.male_lb	incidence.male_lb	LG.male_lb	BC.death.male_lb	inc1.fem_lb	inc2.fem_lb	inc3.fem_lb	inc4.fem_lb	incidence.fem_lb	LG.fem_lb	BC.death.female_lb	inc1.male_ub	inc2.male_ub	inc3.male_ub	inc4.male_ub	incidence.male_ub	LG.male_ub	BC.death.male_ub	inc1.fem_ub	inc2.fem_ub	inc3.fem_ub	inc4.fem_ub	incidence.fem_ub	LG.fem_ub	BC.death.female_ub
0.31	0.07	0.01	0.02	2.2	2.48	0	0.1	0.01	0.01	0	1.36	1.54	0.24	6.26	4.9	6.17	3.88	12.8	13.5	3.69	5.45	4.37	5.09	3.66	10.24	10.79	6.01
1.22	0.44	0.25	0.17	6.98	7.71	1.09	0.57	0.16	0.05	0.01	3.45	3.86	1.09	11.32	8.48	9.57	6.24	22.23	23.58	9.3	7.09	5.77	7.85	5.15	15.6	16.5	9.44
5.64	2.63	1.68	1.42	24	26.2	7.65	2.62	1.09	0.69	0.25	12.7	14	4.8	22.68	16.44	19.6	11.71	47.51	50.63	22.5	14.06	11.04	14.3	9.58	30.89	32.92	17.5
16.6	8.61	6.25	5.19	62.3	67.8	11.5	6.73	3.21	2.36	1.02	27.9	30.5	11.9	46.79	32.84	38.4	22.16	101.78	108.98	30.89	22.88	18.07	23.5	16.4	54.47	58.14	30.89
45.5	24.9	17.75	15.9	158	172	33.2	14.5	7.42	5.62	2.75	54.9	59.7	22.6	96.05	65.69	80.2	42.15	213.66	229.15	60.21	34.39	27.97	38	27.6	89.56	95.7	46.34
89.4	50.1	32.76	32.7	276.45	299.14	73.27	29.91	16.9	11.6	6.98	103.14	111.93	34.53	152.8	103.6	138	65.77	372	399	118	56.9	44.14	65.8	42.95	157	168	65.3
158	90.5	60.31	59.9	484.88	524.13	134.32	41.12	25.5	18.11	11	149.11	161.59	50.17	252.75	169.2	225	104.28	614	660	196	77	58.43	89	61.96	215	230	86
250	144	108.44	96.4	812	877	240	70.4	39.2	31.33	17.4	239	258	102	432.36	281.86	336	158.33	966.95	1039.41	316.91	116.62	90.86	124	85.24	314.79	337.8	152.19
429	250	163.46	168	1253.66	1353.47	446.62	116.79	69.2	48	31.7	367.47	397.4	152.81	621.07	403.25	547	224.83	1520	1640	581	169	126.72	197	119.3	487	523	223
456	266	179.01	179	1316.95	1421.72	562.56	82.83	79.8	61.79	36.8	421.79	456.04	216.22	586.15	411.1	579	303.95	1610	1740	727	190	132.42	222	199.04	550	591	301
424	247	173.13	166	1272.19	1373.44	712.73	104.45	85.2	68.11	39.5	470.53	508.63	316.19	563.13	397.38	541	299.12	1510	1620	873	201	148.06	234	205.21	583	626	406
249.67	163	120.86	109	849.95	918.02	674.19	43.48	68.6	61.49	31.4	394.14	426.19	319.98	352	262.08	374	283.73	1040	1110	834	168	117.77	195	230.08	484	519	401
105.68	60.4	53.92	39.6	356	385	423	38.87	29.5	34.89	12.8	184	199	220	151	130.44	160	150.99	474.66	509.73	554.08	85.9	81.09	99.6	132.7	308.42	330.95	360.2
