Age_lb	inc1.male	inc2.male	inc3.male	inc4.male	incidence.male	LG.male	BC.death.male	inc1.fem	inc2.fem	inc3.fem	inc4.fem	incidence.fem	LG.fem	BC.death.female
30	 2.37 	 1.61 	 0.89 	 1.13 	6	6.46	1	 1.97 	 1.35 	 0.74 	 0.94 	5	5.38	2
35	 5.52 	 3.77 	 2.07 	 2.64 	14	15.07	4	 3.15 	 2.15 	 1.18 	 1.51 	8	8.62	4
40	 13.80 	 9.42 	 5.17 	 6.61 	35	37.68	14	 8.28 	 5.65 	 3.10 	 3.97 	21	22.68	10
45	 32.73 	 22.33 	 12.26 	 15.68 	83	89.51	21	 16.17 	 11.03 	 6.06 	 7.74 	41	44.19	21
50	 73.34 	 50.04 	 27.48 	 35.13 	186	200.47	46	 28.39 	 19.37 	 10.64 	 13.60 	72	77.52	34
55	 122.24 	 83.40 	 45.80 	 58.55 	310	334	91	 48.90 	 33.36 	 18.32 	 23.42 	124	133.62	47
60	 208.60 	 142.33 	 78.16 	 99.92 	529	569.96	158	 68.61 	 46.81 	 25.71 	 32.86 	174	187.47	65
65	 373.36 	 246.69 	 132.12 	 154.83 	907	977.22	283	 115.67 	 76.43 	 40.93 	 47.97 	281	302.76	129
70	 545.02 	 360.10 	 192.87 	 226.01 	1324	1426.51	489	 167.13 	 110.42 	 59.14 	 69.31 	406	437.43	178
75	 480.99 	 362.40 	 213.26 	 332.35 	1389	1496.54	610	 160.33 	 120.80 	 71.09 	 110.78 	463	498.85	246
80	 465.06 	 350.40 	 206.20 	 321.35 	1343	1446.98	766	 177.99 	 134.11 	 78.92 	 122.99 	514	553.79	352
85	 229.33 	 222.49 	 149.64 	 306.53 	908	978.3	726	 109.62 	 106.34 	 71.53 	 146.52 	434	467.6	356
90	 109.36 	 106.10 	 71.36 	 146.18 	433	466.52	509	 69.46 	 67.38 	 45.32 	 92.84 	275	296.29	324
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
