age	year.surv	sex	S1	S2	S3	S4
25	0	1	100	100	100	100
35	0	1	100	100	100	100
45	0	1	100	100	100	100
55	0	1	100	100	100	100
65	0	1	100	100	100	100
75	0	1	100	100	100	100
25	0	0	100	100	100	100
35	0	0	100	100	100	100
45	0	0	100	100	100	100
55	0	0	100	100	100	100
65	0	0	100	100	100	100
75	0	0	100	100	100	100
25	1	1	99.40	98.20	94.80	52.10
35	1	1	99.40	98.20	94.80	52.10
45	1	1	98.90	98.30	96.40	50.10
55	1	1	98.30	97.80	94.50	46.50
65	1	1	97.60	93.00	95.20	41.50
75	1	1	89.90	83.60	87.20	29.30
25	1	0	99.80	98.10	96.60	43.06
35	1	0	99.80	98.1	96.60	43.06
45	1	0	99.80	99.00	92.00	45.50
55	1	0	99.10	97.10	93.00	45.80
65	1	0	97.20	93.90	93.10	40.30
75	1	0	90.60	85.00	83.60	24.20
25	5	1	97.20	84.40	81.10	19.60
35	5	1	97.20	84.40	81.10	19.60
45	5	1	95.80	87.50	81.10	17.40
55	5	1	91.80	92.40	79.70	16.70
65	5	1	89.10	81.50	77.40	13.50
75	5	1	72.50	56.20	66.60	6.10
25	5	0	98.30	91.80	77.10	18.50
35	5	0	98.30	91.80	77.10	18.50
45	5	0	98.30	91.80	77.10	18.50
55	5	0	94.50	87.80	76.90	16.90
65	5	0	90.40	81.30	77.60	13.70
75	5	0	76.00	58.50	61.40	8.30
25	10	1	78.92	68.53	65.85	15.91
35	10	1	78.92	68.53	65.85	15.91
45	10	1	77.78	71.04	65.85	14.13
55	10	1	74.53	75.02	64.71	13.56
65	10	1	72.34	66.17	62.84	10.96
75	10	1	58.86	45.63	54.07	4.95
25	10	0	79.81	74.53	62.60	15.02
35	10	0	79.81	74.53	62.60	15.02
45	10	0	79.81	74.53	62.60	15.02
55	10	0	76.73	71.29	62.44	13.72
65	10	0	73.40	66.01	63.00	11.12
75	10	0	61.71	47.50	49.85	6.74
