inc1.male_lb	inc2.male_lb	inc3.male_lb	inc4.male_lb	incidence.rate.male_lb	LG.male_lb	BC.death.male_lb	inc1.fem_lb	inc2.fem_lb	inc3.fem_lb	inc4.fem_lb	incidence.rate.fem_lb	LG.fem_lb	BC.death.female_lb	inc1.male_ub	inc2.male_ub	inc3.male_ub	inc4.male_ub	incidence.rate.male_ub	LG.male_ub	BC.death.male_ub	inc1.fem_ub	inc2.fem_ub	inc3.fem_ub	inc4.fem_ub	incidence.rate.fem_ub	LG.fem_ub	BC.death.female_ub
5.52336E-06	0	2.08658E-06	3.30354E-06	1.60152E-05	0	0	3.70494E-06	0	1.32139E-06	2.15675E-06	1.11642E-05	0	1.07245E-07	1.33053E-05	4.5114E-06	7.48677E-06	9.68724E-06	2.8116E-05	0	4.53475E-06	1.03799E-05	3.65259E-06	5.94626E-06	7.62848E-06	2.15529E-05	0	2.467E-06
1.27509E-05	2.0595E-06	5.24196E-06	7.93985E-06	3.48523E-05	0	2.15566E-06	7.40043E-06	1.04342E-06	2.88985E-06	4.49631E-06	2.0975E-05	0	1.26513E-06	2.39673E-05	7.56813E-06	1.30419E-05	1.71498E-05	5.2273E-05	0	7.68005E-06	1.62425E-05	5.37063E-06	9.03097E-06	1.17525E-05	3.47176E-05	0	5.87057E-06
3.35013E-05	6.33211E-06	1.46441E-05	2.14886E-05	8.7545E-05	0	7.07951E-06	1.48603E-05	2.45097E-06	6.15853E-06	9.28923E-06	4.03838E-05	0	1.36655E-06	5.12887E-05	1.50998E-05	2.70292E-05	3.61025E-05	0.000115151	0	1.61732E-05	2.72276E-05	8.52798E-06	1.47603E-05	1.9445E-05	5.95898E-05	0	6.34117E-06
6.65708E-05	1.3656E-05	3.00714E-05	4.33902E-05	0.000169681	0	2.50594E-05	2.7184E-05	5.03786E-06	1.17903E-05	1.73705E-05	7.14521E-05	0	7.42971E-06	9.02969E-05	2.53689E-05	4.66003E-05	6.2888E-05	0.000206492	0	4.01014E-05	4.27789E-05	1.27217E-05	2.26472E-05	3.01823E-05	9.56577E-05	0	1.6399E-05
9.90546E-05	2.10934E-05	4.54315E-05	6.50468E-05	0.000249524	0	4.31837E-05	4.43898E-05	8.833E-06	1.98069E-05	2.87595E-05	0.000114212	0	1.32642E-05	0.000126631	3.4715E-05	6.46465E-05	8.77107E-05	0.000292304	0	6.16247E-05	6.30642E-05	1.80471E-05	3.28141E-05	4.41046E-05	0.000143189	0	2.41981E-05
0.000128107	2.77103E-05	5.91348E-05	8.43908E-05	0.000321098	0	7.14591E-05	6.10314E-05	1.25072E-05	2.7558E-05	3.97718E-05	0.00015561	0	2.61E-05	0.000159629	4.32846E-05	8.11012E-05	0.000110299	0.000369997	0	9.49987E-05	8.29112E-05	2.33085E-05	4.28005E-05	5.77523E-05	0.000189557	0	4.09779E-05
0.000188543	4.13346E-05	8.7515E-05	0.000124542	0.000470536	0	0.000120884	8.80216E-05	1.83735E-05	4.00436E-05	5.75709E-05	0.000223136	0	4.87236E-05	0.000229731	6.16882E-05	0.000116219	0.000158395	0.000534423	0	0.000153551	0.000116181	3.2279E-05	5.96628E-05	8.0713E-05	0.000266823	0	7.01672E-05
0.000306566	6.12075E-05	0.00013807	0.000186358	0.000730442	0	0.000180476	0.000145363	2.78094E-05	6.43758E-05	8.75129E-05	0.000350535	0	8.88166E-05	0.000362763	8.76137E-05	0.000176557	0.000230693	0.00081589	0	0.000222706	0.000183489	4.57141E-05	9.0482E-05	0.000117588	0.000408518	0	0.000119098
0.000331585	6.64316E-05	0.000149542	0.000201727	0.000789277	0	0.000238969	0.000158991	3.0648E-05	7.06206E-05	9.5881E-05	0.00038259	0	0.000123058	0.000390267	9.40064E-05	0.000189732	0.000248022	0.0008785	0	0.000286854	0.000198451	4.91809E-05	9.7641E-05	0.000127009	0.0004426	0	0.000158035
0.000332525	9.85448E-05	0.000173076	0.000279727	0.000937393	0	0.000322711	0.00017024	4.92372E-05	8.76206E-05	0.000142835	0.000485551	0	0.000188834	0.000403653	0.000138822	0.000225347	0.00034525	0.001054455	0	0.000387684	0.000218242	7.64095E-05	0.00012289	0.000187052	0.000564571	0	0.000239232
0.000369208	0.000108093	0.000191095	0.000310179	0.001046924	0	0.000417423	0.000199103	5.71718E-05	0.000102138	0.000166924	0.00056982	0	0.000278066	0.000460668	0.000159877	0.000258304	0.00039443	0.001197449	0	0.0005028	0.000259291	9.12392E-05	0.00014636	0.000222365	0.0006689	0	0.000348477
0.000271774	0.000138202	0.000183022	0.000377112	0.00106339	0	0.000489976	0.000150599	7.60841E-05	0.00010106	0.000209483	0.000594005	0	0.000401483	0.000380543	0.000218347	0.000273898	0.000503626	0.001269614	0	0.000605344	0.000217253	0.000125191	0.000156745	0.000287016	0.000720414	0	0.000506493
0.000284465	0.000139154	0.000187586	0.000400461	0.001166555	0	0.000525303	0.00014393	7.02648E-05	9.48088E-05	0.00020277	0.000591647	0	0.000558441	0.000472046	0.000277279	0.000344256	0.000618688	0.001522389	0	0.00069935	0.000240875	0.000141645	0.000175775	0.000315559	0.000775599	0	0.000737509
																											
																											
