all_cause_male	all_cause_female	p_current_smoke	p_former_smoke	p_non_smoke
0.004233	0.003509	0	0	1
0.000229	0.000214	0	0	1
0.000127	0.000114	0	0	1
0.000102	0.000095	0	0	1
0.000086	0.000064	0	0	1
0.000074	0.000074	0	0	1
0.000085	0.000071	0	0	1
0.000067	0.000055	0	0	1
0.000069	0.000058	0	0	1
0.000060	0.000051	0	0	1
0.000078	0.000066	0	0	1
0.000077	0.000055	0	0	1
0.000102	0.000057	0	0	1
0.000116	0.000087	0	0	1
0.000129	0.000096	0	0	1
0.000172	0.000113	0	0	1
0.000205	0.000131	0	0	1
0.000311	0.000158	0	0	1
0.000402	0.000218	0	0	1
0.000454	0.000212	0	0	1
0.000525	0.000187	0.25	0.2	0.55
0.000507	0.000211	0.25	0.2	0.55
0.000498	0.000245	0.25	0.2	0.55
0.000524	0.000215	0.25	0.2	0.55
0.000556	0.000223	0.25	0.2	0.55
0.000601	0.000260	0.25	0.2	0.55
0.000607	0.000257	0.25	0.2	0.55
0.000630	0.000310	0.25	0.2	0.55
0.000681	0.000314	0.25	0.2	0.55
0.000728	0.000338	0.25	0.2	0.55
0.000771	0.000387	0.25	0.2	0.55
0.000835	0.000394	0.254	0.204	0.542
0.000859	0.000468	0.258	0.216	0.526
0.000958	0.000493	0.262	0.228	0.51
0.000990	0.000585	0.266	0.24	0.494
0.001100	0.000592	0.17	0.22	0.61
0.001155	0.000678	0.17	0.22	0.61
0.001352	0.000761	0.17	0.22	0.61
0.001317	0.000793	0.17	0.22	0.61
0.001458	0.000868	0.17	0.22	0.61
0.001607	0.000924	0.17	0.22	0.61
0.001701	0.001004	0.168	0.226	0.606
0.001850	0.001103	0.166	0.232	0.602
0.002017	0.001240	0.164	0.238	0.598
0.002212	0.001345	0.162	0.244	0.594
0.002470	0.001485	0.16	0.25	0.59
0.002650	0.001627	0.158	0.248	0.594
0.002746	0.001745	0.156	0.246	0.598
0.002964	0.001968	0.154	0.244	0.602
0.003303	0.002053	0.152	0.242	0.606
0.003584	0.002236	0.15	0.24	0.61
0.003828	0.002455	0.16	0.262	0.578
0.004084	0.002585	0.17	0.284	0.546
0.004411	0.002768	0.18	0.306	0.514
0.004731	0.002969	0.19	0.328	0.482
0.005059	0.003289	0.2	0.35	0.45
0.005609	0.003643	0.194	0.36	0.446
0.006078	0.003935	0.188	0.37	0.442
0.006718	0.004377	0.182	0.38	0.438
0.007265	0.004718	0.176	0.39	0.434
0.007944	0.005261	0.17	0.4	0.43
0.008673	0.005652	0.16	0.39	0.45
0.009648	0.006472	0.15	0.38	0.47
0.010608	0.006841	0.14	0.37	0.49
0.011234	0.007406	0.13	0.36	0.51
0.012538	0.008146	0.12	0.35	0.53
0.013950	0.008808	0.11	0.348	0.542
0.014892	0.009600	0.1	0.346	0.554
0.016483	0.010658	0.09	0.344	0.566
0.018111	0.011524	0.08	0.342	0.578
0.019424	0.012979	0.07	0.34	0.59
0.021013	0.013731	0.072	0.35	0.578
0.023044	0.015620	0.074	0.36	0.566
0.026136	0.017440	0.076	0.37	0.554
0.029196	0.019884	0.078	0.38	0.542
0.032830	0.022006	0.08	0.39	0.53
0.036380	0.024698	0.074	0.398	0.528
0.040958	0.028313	0.068	0.406	0.526
0.046233	0.031921	0.062	0.414	0.524
0.051555	0.036362	0.056	0.422	0.522
0.057764	0.040412	0.05	0.43	0.52
0.064015	0.046168	0.05	0.43	0.52
0.071677	0.051489	0.05	0.43	0.52
0.080609	0.058836	0.05	0.43	0.52
0.091280	0.067335	0.05	0.43	0.52
0.102470	0.076572	0.05	0.43	0.52
0.116650	0.088249	0.05	0.43	0.52
0.130842	0.100750	0.05	0.43	0.52
0.147828	0.113939	0.05	0.43	0.52
0.167450	0.129482	0.05	0.43	0.52
0.178043	0.146459	0.05	0.43	0.52
0.201824	0.166188	0.05	0.43	0.52
0.223296	0.187019	0.05	0.43	0.52
0.250961	0.209417	0.05	0.43	0.52
0.278690	0.231980	0.05	0.43	0.52
0.310738	0.260177	0.05	0.43	0.52
0.339857	0.289863	0.05	0.43	0.52
0.372549	0.322798	0.05	0.43	0.52
0.403135	0.352456	0.05	0.43	0.52
0.453901	0.380825	0.05	0.43	0.52
0.485254	0.425334	0.05	0.43	0.52
