age	all_cause_male	all_cause_female	Proportion of current smokers (HSE)	Proportion of former smokers (HSE)	Proportion of non-smokers	all_cause_m_male_no_smoke	all_cause_m_male_smoke	all_cause_m_male_past_smoke	all_cause_m_female_no_smoke	all_cause_m_female_smoke	all_cause_m_female_past_smoke			BC mortality by age_males	BC mortality by age_females	Other_cause_male	Other_cause_female		"Average Number of Deaths Per Year and Age-Specific Mortality Rates per 100,000 Population, UK"					100000	RR former smoker	1.2	1.20 (1.14–1.26) 
0	0.004233	0.003509	0	0	1	0.00372504								0	0	0.004233	0.003509								RR current smoker	2.76	2.76 (95% CI 2.71–2.81) 
1	0.000229	0.000214	0	0	1	0.00020152								0	0	0.000229	0.000214		Age Range	Female Deaths	Male Deaths	Female Rates	Male Rates		RR not smoker	1	1
2	0.000127	0.000114	0	0	1	0.00011176								0	0	0.000127	0.000114		0 to 04	0	0	0.0	0.0				
3	0.000102	0.000095	0	0	1	0.00008976								0	0	0.000102	0.000095		05 to 09	0	0	0.0	0.0		RR no smoke/all pop	0.88	
4	0.000086	0.000064	0	0	1	0.00007568								0	0	0.000086	0.000064		10 to 14	0	0	0.0	0.0				
5	0.000074	0.000074	0	0	1	0.00006512								0	0	0.000074	0.000074		15 to 19	0	0	0.0	0.0				
6	0.000085	0.000071	0	0	1	0.0000748								0	0	0.000085	0.000071		20 to 24	0	0	0.0	0.0				
7	0.000067	0.000055	0	0	1	0.00005896								0	0	0.000067	0.000055		25 to 29	0	0	0.0	0.0				
8	0.000069	0.000058	0	0	1	0.00006072								0	0	0.000069	0.000058		30 to 34	2	1	0.1	0.0				
9	0.000060	0.000051	0	0	1	0.0000528								0	0	0.000060	0.000051		35 to 39	4	4	0.2	0.2				
10	0.000078	0.000066	0	0	1	0.00006864								0	0	0.000078	0.000066		40 to 44	10	14	0.5	0.7				
11	0.000077	0.000055	0	0	1	0.00006776								0	0	0.000077	0.000055		45 to 49	21	21	0.9	0.9				
12	0.000102	0.000057	0	0	1	0.00008976								0	0	0.000102	0.000057		50 to 54	34	46	1.4	2.0				
13	0.000116	0.000087	0	0	1	0.00010208								0	0	0.000116	0.000087		55 to 59	47	91	2.2	4.4				
14	0.000129	0.000096	0	0	1	0.00011352								0	0	0.000129	0.000096		60 to 64	65	158	3.5	9.0				
15	0.000172	0.000113	0	0	1	0.00015136								0	0	0.000172	0.000113		65 to 69	129	283	7.1	16.7				
16	0.000205	0.000131	0	0	1	0.0001804								0	0	0.000205	0.000131		70 to 74	178	489	11.1	33.3				
17	0.000311	0.000158	0	0	1	0.00027368								0	0	0.000311	0.000158		75 to 79	246	610	20.8	60.6				
18	0.000402	0.000218	0	0	1	0.00035376								0	0	0.000402	0.000218		80 to 84	352	766	38.0	107.5				
19	0.000454	0.000212	0	0	1	0.00039952								0	0	0.000454	0.000212		85 to 89	356	726	57.6	185.3				
20	0.000525	0.000187	0.25	0.2	0.55	0.000462								0	0	0.000525	0.000187		90+	324	509	80.9	286.1				
21	0.000507	0.000211	0.25	0.2	0.55	0.00044616								0	0	0.000507	0.000211		All Ages	"1,768"	"3,717"	5.0	14.4				
22	0.000498	0.000245	0.25	0.2	0.55	0.00043824								0	0	0.000498	0.000245										
23	0.000524	0.000215	0.25	0.2	0.55	0.00046112								0	0	0.000524	0.000215										
24	0.000556	0.000223	0.25	0.2	0.55	0.00048928								0	0	0.000556	0.000223										
25	0.000601	0.000260	0.25	0.2	0.55	0.00052888								0	0	0.000601	0.000260										
26	0.000607	0.000257	0.25	0.2	0.55	0.00053416								0	0	0.000607	0.000257										
27	0.000630	0.000310	0.25	0.2	0.55	0.0005544								0	0	0.000630	0.000310										
28	0.000681	0.000314	0.25	0.2	0.55	0.00059928								0	0	0.000681	0.000314										
29	0.000728	0.000338	0.25	0.2	0.55	0.00064064								0	0	0.000728	0.000338										
30	0.000771	0.000387	0.25	0.2	0.55	0.00067848								0.000001	0	0.000770	0.000387										
31	0.000835	0.000394	0.234	0.204	0.562	0.0007348								0.0000012	0.0000004	0.000834	0.000394										
32	0.000859	0.000468	0.218	0.208	0.574	0.00075592								0.0000014	0.0000008	0.000858	0.000467										
33	0.000958	0.000493	0.202	0.212	0.586	0.00084304								0.0000016	0.0000012	0.000956	0.000492										
34	0.000990	0.000585	0.186	0.216	0.598	0.0008712								0.0000018	0.0000016	0.000988	0.000583										
35	0.001100	0.000592	0.17	0.22	0.61	0.000968								0.000002	0.000002	0.001098	0.000590										
36	0.001155	0.000678	0.17	0.22	0.61	0.0010164								0.0000014	0.000001	0.001154	0.000677										
37	0.001352	0.000761	0.17	0.22	0.61	0.00118976								0.0000008	0	0.001351	0.000761										
38	0.001317	0.000793	0.17	0.22	0.61	0.00115896								0.0000002	-0.000001	0.001317	0.000794										
39	0.001458	0.000868	0.17	0.22	0.61	0.00128304								-4E-07	-0.000002	0.001458	0.000870										
40	0.001607	0.000924	0.17	0.22	0.61	0.00141416								0.000005	0.000007	0.001602	0.000917										
41	0.001701	0.001004	0.168	0.226	0.606	0.00149688								0.0000058	0.0000074	0.001695	0.000997										
42	0.001850	0.001103	0.166	0.232	0.602	0.001628								0.0000066	0.0000078	0.001843	0.001095										
43	0.002017	0.001240	0.164	0.238	0.598	0.00177496								0.0000074	0.0000082	0.002010	0.001232										
44	0.002212	0.001345	0.162	0.244	0.594	0.00194656								0.0000082	0.0000086	0.002204	0.001336										
45	0.002470	0.001485	0.16	0.25	0.59	0.0021736								0.000009	0.000009	0.002461	0.001476										
46	0.002650	0.001627	0.158	0.248	0.594	0.002332								0.00001	0.0000112	0.002640	0.001616										
47	0.002746	0.001745	0.156	0.246	0.598	0.00241648								0.000011	0.0000134	0.002735	0.001732										
48	0.002964	0.001968	0.154	0.244	0.602	0.00260832								0.000012	0.0000156	0.002952	0.001952										
49	0.003303	0.002053	0.152	0.242	0.606	0.00290664								0.000013	0.0000178	0.003290	0.002035										
50	0.003584	0.002236	0.15	0.24	0.61	0.00315392								0.000014	0.00002	0.003570	0.002216										
51	0.003828	0.002455	0.16	0.262	0.578	0.00336864								0.0000156	0.0000248	0.003812	0.002430										
52	0.004084	0.002585	0.17	0.284	0.546	0.00359392								0.0000172	0.0000296	0.004067	0.002555										
53	0.004411	0.002768	0.18	0.306	0.514	0.00388168								0.0000188	0.0000344	0.004392	0.002734										
54	0.004731	0.002969	0.19	0.328	0.482	0.00416328								0.0000204	0.0000392	0.004711	0.002930										
55	0.005059	0.003289	0.2	0.35	0.45	0.00445192								0.000022	0.000044	0.005037	0.003245										
56	0.005609	0.003643	0.194	0.36	0.446	0.00493592								0.0000246	0.0000532	0.005584	0.003590										
57	0.006078	0.003935	0.188	0.37	0.442	0.00534864								0.0000272	0.0000624	0.006051	0.003873										
58	0.006718	0.004377	0.182	0.38	0.438	0.00591184								0.0000298	0.0000716	0.006688	0.004305										
59	0.007265	0.004718	0.176	0.39	0.434	0.0063932								0.0000324	0.0000808	0.007233	0.004637										
60	0.007944	0.005261	0.17	0.4	0.43	0.00699072								0.000035	0.00009	0.007909	0.005171										
61	0.008673	0.005652	0.16	0.39	0.45	0.00763224								0.0000422	0.0001054	0.008631	0.005547										
62	0.009648	0.006472	0.15	0.38	0.47	0.00849024								0.0000494	0.0001208	0.009599	0.006351										
63	0.010608	0.006841	0.14	0.37	0.49	0.00933504								0.0000566	0.0001362	0.010551	0.006705										
64	0.011234	0.007406	0.13	0.36	0.51	0.00988592								0.0000638	0.0001516	0.011170	0.007254										
65	0.012538	0.008146	0.12	0.35	0.53	0.01103344								0.000071	0.000167	0.012467	0.007979										
66	0.013950	0.008808	0.11	0.348	0.542	0.012276								0.000079	0.0002002	0.013871	0.008608										
67	0.014892	0.009600	0.1	0.346	0.554	0.01310496								0.000087	0.0002334	0.014805	0.009367										
68	0.016483	0.010658	0.09	0.344	0.566	0.01450504								0.000095	0.0002666	0.016388	0.010391										
69	0.018111	0.011524	0.08	0.342	0.578	0.01593768								0.000103	0.0002998	0.018008	0.011224										
70	0.019424	0.012979	0.07	0.34	0.59	0.01709312								0.000111	0.000333	0.019313	0.012646										
71	0.021013	0.013731	0.072	0.35	0.578	0.01849144								0.0001304	0.0003876	0.020883	0.013343										
72	0.023044	0.015620	0.074	0.36	0.566	0.02027872								0.0001498	0.0004422	0.022894	0.015178										
73	0.026136	0.017440	0.076	0.37	0.554	0.02299968								0.0001692	0.0004968	0.025967	0.016943										
74	0.029196	0.019884	0.078	0.38	0.542	0.02569248								0.0001886	0.0005514	0.029007	0.019333										
75	0.032830	0.022006	0.08	0.39	0.53	0.0288904								0.000208	0.000606	0.032622	0.021400										
76	0.036380	0.024698	0.074	0.398	0.528	0.0320144								0.0002424	0.0006998	0.036138	0.023998										
77	0.040958	0.028313	0.068	0.406	0.526	0.03604304								0.0002768	0.0007936	0.040681	0.027519										
78	0.046233	0.031921	0.062	0.414	0.524	0.04068504								0.0003112	0.0008874	0.045922	0.031034										
