"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"all.symptomatic"
"1"	0.956	0	0	0.044	0	0	0	0	0
"2"	1	0	0	0	0	0	0	0	0
"3"	0.954	0	0	0.046	0	0	0	0	0
"4"	0.966	0	0	0.034	0	0	0	0	0
"5"	0.912	0.002	0	0.086	0	0	0	0	0
"6"	0.968	0	0	0.032	0	0	0	0	0
"7"	0.894	0	0	0.104	0	0	0	0.002	0
"8"	0.964	0	0	0.036	0	0	0	0	0
"9"	0.89	0.002	0	0.108	0	0	0	0	0
"10"	0.996	0	0	0.004	0	0	0	0	0
"11"	0.998	0	0	0.002	0	0	0	0	0
"12"	0.772	0.006	0.003992	0.218	0	0	0	0	8e-06
"13"	0.998	0	0	0.002	0	0	0	0	0
"14"	0.766	0.002	0.003984	0.224	0.001996	0	0	0.002	2e-05
"15"	0.874	0.002	0	0.124	0	0	0	0	0
"16"	0.922	0	0	0.078	0	0	0	0	0
"17"	0.984	0	0	0.016	0	0	0	0	0
"18"	1	0	0	0	0	0	0	0	0
"19"	1	0	0	0	0	0	0	0	0
"20"	0.972	0	0	0.028	0	0	0	0	0
"21"	0.948	0	0	0.052	0	0	0	0	0
"22"	0.994	0	0	0.006	0	0	0	0	0
"23"	0.988	0	0	0.012	0	0	0	0	0
"24"	0.944	0	0	0.056	0	0	0	0	0
"25"	0.64	0	0.003976	0.356	0	0	0	0	2.4e-05
"26"	0.828	0.006	0	0.166	0	0	0	0	0
"27"	0.926	0.002	0	0.072	0	0	0	0	0
"28"	0.996	0	0	0.004	0	0	0	0	0
"29"	0.898	0.004	0	0.098	0	0	0	0	0
"30"	0.986	0	0	0.014	0	0	0	0	0
"31"	0.98	0	0	0.02	0	0	0	0	0
"32"	0.892	0	0.001996	0.106	0	0	0	0	4e-06
"33"	0.966	0	0	0.034	0	0	0	0	0
"34"	0.98	0	0	0.02	0	0	0	0	0
"35"	1	0	0	0	0	0	0	0	0
"36"	1	0	0	0	0	0	0	0	0
"37"	0.398	0.026	0.007936	0.556	0	0	0.002	0.01	6.4e-05
"38"	0.966	0.002	0	0.032	0	0	0	0	0
"39"	0.964	0	0	0.036	0	0	0	0	0
"40"	0.784	0	0.001996	0.212	0	0	0	0.002	4e-06
"41"	0.916	0	0	0.084	0	0	0	0	0
"42"	0.998	0	0	0.002	0	0	0	0	0
"43"	0.646	0.004	0.001996	0.342	0.002	0	0	0.004	4e-06
"44"	0.908	0	0	0.092	0	0	0	0	0
"45"	0.998	0	0	0.002	0	0	0	0	0
"46"	0.864	0.002	0	0.132	0.001996	0	0	0	4e-06
"47"	0.944	0	0	0.056	0	0	0	0	0
"48"	0.892	0.002	0.001996	0.102	0	0.002	0	0	4e-06
"49"	0.282	0.014	0	0.694	0	0	0	0.01	0
"50"	0.982	0	0	0.018	0	0	0	0	0
"51"	0.956	0.002	0	0.042	0	0	0	0	0
"52"	0.866	0	0	0.134	0	0	0	0	0
"53"	0.964	0	0	0.034	0	0	0	0.002	0
"54"	0.896	0	0.001996	0.1	0	0	0.001996	0	8e-06
"55"	0.846	0.002	0	0.152	0	0	0	0	0
"56"	0.998	0	0	0.002	0	0	0	0	0
"57"	0.968	0	0	0.032	0	0	0	0	0
"58"	1	0	0	0	0	0	0	0	0
"59"	0.922	0.002	0	0.076	0	0	0	0	0
"60"	0.932	0	0	0.068	0	0	0	0	0
"61"	0.604	0.016	0.001996	0.368	0	0.001996	0	0.008	8e-06
"62"	1	0	0	0	0	0	0	0	0
"63"	0.898	0	0	0.102	0	0	0	0	0
"64"	0.95	0	0	0.05	0	0	0	0	0
"65"	0.994	0	0	0.006	0	0	0	0	0
"66"	0.974	0	0	0.026	0	0	0	0	0
"67"	0.968	0	0	0.032	0	0	0	0	0
"68"	0.892	0	0.001996	0.106	0	0	0	0	4e-06
"69"	0.946	0	0	0.054	0	0	0	0	0
"70"	0.998	0	0	0.002	0	0	0	0	0
"71"	1	0	0	0	0	0	0	0	0
"72"	0.946	0	0	0.054	0	0	0	0	0
"73"	0.836	0	0.003984	0.158	0.001996	0	0	0	2e-05
"74"	0.946	0	0.001996	0.048	0	0	0.001996	0.002	8e-06
"75"	0.996	0	0	0.004	0	0	0	0	0
"76"	0.974	0	0	0.026	0	0	0	0	0
"77"	1	0	0	0	0	0	0	0	0
"78"	0.952	0	0	0.048	0	0	0	0	0
"79"	0.994	0	0	0.006	0	0	0	0	0
"80"	0.996	0	0	0.004	0	0	0	0	0
"81"	0.344	0.016	0.003984	0.622	0.001996	0.002	0.003984	0.006	3.6e-05
"82"	0.976	0	0	0.024	0	0	0	0	0
"83"	0.946	0	0	0.054	0	0	0	0	0
"84"	0.972	0	0	0.028	0	0	0	0	0
"85"	1	0	0	0	0	0	0	0	0
"86"	0.998	0	0	0.002	0	0	0	0	0
"87"	0.96	0	0	0.04	0	0	0	0	0
"88"	0.954	0	0	0.046	0	0	0	0	0
"89"	0.81	0	0	0.188	0	0.001996	0	0	4e-06
"90"	0.968	0	0	0.032	0	0	0	0	0
"91"	0.914	0.002	0	0.084	0	0	0	0	0
"92"	0.828	0	0	0.172	0	0	0	0	0
"93"	0.782	0.006	0	0.212	0	0	0	0	0
"94"	0.994	0	0	0.006	0	0	0	0	0
"95"	0.998	0	0	0.002	0	0	0	0	0
"96"	0.994	0	0	0.006	0	0	0	0	0
"97"	0.85	0	0	0.15	0	0	0	0	0
"98"	0.9	0	0.001996	0.098	0	0	0	0	4e-06
"99"	0.922	0	0	0.078	0	0	0	0	0
"100"	0.992	0	0	0.008	0	0	0	0	0
"101"	0.864	0.004	0	0.132	0	0	0	0	0
"102"	0.952	0	0	0.048	0	0	0	0	0
"103"	0.998	0	0	0.002	0	0	0	0	0
"104"	0.696	0.012	0.005964	0.28	0.002	0.001996	0	0.002	4e-05
"105"	0.974	0.002	0	0.024	0	0	0	0	0
"106"	0.934	0.002	0.001996	0.062	0	0	0	0	4e-06
"107"	0.998	0	0	0.002	0	0	0	0	0
"108"	0.674	0.006	0.007936	0.312	0	0	0	0	6.4e-05
"109"	0.894	0.002	0	0.104	0	0	0	0	0
"110"	0.842	0.002	0	0.156	0	0	0	0	0
"111"	0.998	0	0	0.002	0	0	0	0	0
"112"	0.998	0	0	0.002	0	0	0	0	0
"113"	0.974	0	0	0.026	0	0	0	0	0
"114"	0.994	0	0	0.006	0	0	0	0	0
"115"	0.984	0	0	0.016	0	0	0	0	0
"116"	0.964	0	0	0.036	0	0	0	0	0
"117"	0.964	0	0	0.036	0	0	0	0	0
"118"	0.9	0	0	0.1	0	0	0	0	0
"119"	0.672	0.002	0.003992	0.322	0	0	0	0	8e-06
"120"	0.94	0	0	0.058	0.002	0	0	0	0
"121"	0.936	0.002	0	0.06	0	0	0	0.002	0
"122"	0.964	0	0	0.036	0	0	0	0	0
"123"	0.858	0.008	0	0.132	0	0	0	0.002	0
"124"	0.652	0.008	0.001996	0.336	0	0	0.002	0	4e-06
"125"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"126"	0.908	0	0	0.092	0	0	0	0	0
"127"	0.856	0.002	0	0.142	0	0	0	0	0
"128"	0.8	0	0	0.196	0	0	0	0.004	0
"129"	1	0	0	0	0	0	0	0	0
"130"	0.768	0.004	0.001996	0.226	0	0	0	0	4e-06
"131"	0.998	0	0	0.002	0	0	0	0	0
"132"	0.8	0.006	0	0.194	0	0	0	0	0
"133"	0.926	0	0	0.074	0	0	0	0	0
"134"	0.98	0	0	0.02	0	0	0	0	0
"135"	0.992	0	0	0.008	0	0	0	0	0
"136"	0.864	0.002	0	0.134	0	0	0	0	0
"137"	0.936	0	0	0.064	0	0	0	0	0
"138"	0.936	0	0	0.064	0	0	0	0	0
"139"	0.986	0	0	0.014	0	0	0	0	0
"140"	0.956	0	0	0.044	0	0	0	0	0
"141"	0.846	0	0	0.152	0.002	0	0	0	0
"142"	0.982	0.002	0	0.016	0	0	0	0	0
"143"	0.712	0.008	0.003984	0.276	0	0	0	0	1.6e-05
"144"	0.952	0	0	0.048	0	0	0	0	0
"145"	0.77	0.004	0	0.226	0	0	0	0	0
"146"	0.942	0	0	0.058	0	0	0	0	0
"147"	0.97	0	0	0.03	0	0	0	0	0
"148"	0.966	0	0	0.034	0	0	0	0	0
"149"	0.942	0	0	0.058	0	0	0	0	0
"150"	0.93	0	0	0.07	0	0	0	0	0
"151"	0.838	0.002	0	0.16	0	0	0	0	0
"152"	0.906	0.002	0	0.092	0	0	0	0	0
"153"	0.614	0.01	0	0.374	0.001996	0	0	0	4e-06
"154"	0.998	0	0	0.002	0	0	0	0	0
"155"	0.954	0	0	0.046	0	0	0	0	0
"156"	0.99	0	0	0.01	0	0	0	0	0
"157"	0.812	0.002	0.001996	0.182	0	0	0	0.002	4e-06
"158"	0.998	0	0	0.002	0	0	0	0	0
"159"	0.996	0	0	0.004	0	0	0	0	0
"160"	0.97	0	0	0.03	0	0	0	0	0
"161"	0.828	0.002	0	0.17	0	0	0	0	0
"162"	0.914	0	0	0.084	0	0.001996	0	0	4e-06
"163"	0.958	0	0	0.042	0	0	0	0	0
"164"	0.974	0	0	0.026	0	0	0	0	0
"165"	0.922	0	0	0.078	0	0	0	0	0
"166"	0.972	0.002	0	0.026	0	0	0	0	0
"167"	0.918	0	0	0.08	0.002	0	0	0	0
"168"	0.968	0	0	0.032	0	0	0	0	0
"169"	0.998	0	0	0.002	0	0	0	0	0
"170"	0.91	0	0	0.09	0	0	0	0	0
"171"	0.982	0	0	0.018	0	0	0	0	0
"172"	0.958	0	0	0.042	0	0	0	0	0
"173"	1	0	0	0	0	0	0	0	0
"174"	1	0	0	0	0	0	0	0	0
"175"	0.882	0.002	0	0.116	0	0	0	0	0
"176"	0.922	0	0	0.078	0	0	0	0	0
"177"	0.956	0	0	0.044	0	0	0	0	0
"178"	0.996	0	0	0.004	0	0	0	0	0
"179"	0.946	0	0	0.054	0	0	0	0	0
"180"	0.922	0	0.001996	0.076	0	0	0	0	4e-06
"181"	0.96	0	0	0.04	0	0	0	0	0
"182"	1	0	0	0	0	0	0	0	0
"183"	1	0	0	0	0	0	0	0	0
"184"	0.944	0	0.001996	0.054	0	0	0	0	4e-06
"185"	0.97	0	0	0.03	0	0	0	0	0
"186"	0.948	0	0	0.05	0	0	0	0.002	0
"187"	0.996	0	0	0.004	0	0	0	0	0
"188"	0.944	0	0	0.056	0	0	0	0	0
"189"	0.794	0.006	0	0.2	0	0	0	0	0
"190"	0.998	0	0	0.002	0	0	0	0	0
"191"	0.856	0.006	0.001996	0.134	0	0	0	0.002	4e-06
"192"	0.996	0	0	0.004	0	0	0	0	0
"193"	0.972	0.002	0	0.026	0	0	0	0	0
"194"	0.918	0.004	0	0.078	0	0	0	0	0
"195"	0.922	0	0	0.078	0	0	0	0	0
"196"	0.95	0.002	0	0.046	0	0	0	0.002	0
"197"	0.99	0	0	0.01	0	0	0	0	0
"198"	0.92	0	0	0.08	0	0	0	0	0
"199"	0.99	0	0	0.01	0	0	0	0	0
"200"	0.974	0	0	0.026	0	0	0	0	0
"201"	0.926	0	0	0.072	0	0	0	0.002	0
"202"	0.88	0.006	0	0.114	0	0	0	0	0
"203"	0.996	0	0	0.004	0	0	0	0	0
"204"	0.99	0	0	0.01	0	0	0	0	0
"205"	0.992	0	0	0.008	0	0	0	0	0
"206"	0.896	0	0	0.104	0	0	0	0	0
"207"	0.992	0	0	0.008	0	0	0	0	0
"208"	0.99	0	0	0.01	0	0	0	0	0
"209"	0.794	0.004	0	0.202	0	0	0	0	0
"210"	0.962	0	0	0.038	0	0	0	0	0
"211"	0.974	0	0	0.026	0	0	0	0	0
"212"	1	0	0	0	0	0	0	0	0
"213"	0.97	0	0.002	0.028	0	0	0	0	0
"214"	0.992	0	0	0.008	0	0	0	0	0
"215"	0.856	0.008	0	0.136	0	0	0	0	0
"216"	0.976	0	0	0.024	0	0	0	0	0
"217"	0.998	0	0	0.002	0	0	0	0	0
"218"	0.974	0	0	0.026	0	0	0	0	0
"219"	0.978	0.002	0	0.02	0	0	0	0	0
"220"	0.994	0	0	0.006	0	0	0	0	0
"221"	0.98	0	0	0.02	0	0	0	0	0
"222"	0.97	0	0	0.03	0	0	0	0	0
"223"	0.776	0.004	0.003984	0.216	0	0	0	0	1.6e-05
"224"	0.59	0.01	0	0.394	0	0	0	0.006	0
"225"	0.664	0.01	0.002	0.32	0.001992	0.001996	0	0	1.2e-05
"226"	0.938	0	0	0.062	0	0	0	0	0
"227"	0.942	0	0	0.058	0	0	0	0	0
"228"	0.994	0	0	0.006	0	0	0	0	0
"229"	0.994	0.002	0	0.004	0	0	0	0	0
"230"	0.852	0.002	0	0.146	0	0	0	0	0
"231"	0.968	0	0	0.032	0	0	0	0	0
"232"	0.966	0	0.001996	0.032	0	0	0	0	4e-06
"233"	0.79	0.006	0.001996	0.202	0	0	0	0	4e-06
"234"	0.952	0	0.001996	0.046	0	0	0	0	4e-06
"235"	0.678	0.006	0.003984	0.31	0	0	0	0.002	1.6e-05
"236"	0.894	0.002	0	0.104	0	0	0	0	0
"237"	0.956	0	0	0.044	0	0	0	0	0
"238"	0.994	0	0	0.006	0	0	0	0	0
"239"	0.92	0	0	0.08	0	0	0	0	0
"240"	0.936	0.002	0	0.062	0	0	0	0	0
"241"	0.958	0	0	0.042	0	0	0	0	0
"242"	0.946	0	0	0.054	0	0	0	0	0
"243"	0.908	0.002	0	0.09	0	0	0	0	0
"244"	0.952	0	0	0.048	0	0	0	0	0
"245"	0.516	0.007984	0.002	0.472	0	0	0	0.002	1.6e-05
"246"	0.648	0.006	0.003984	0.334	0.001996	0.002	0.001992	0.002	2.8e-05
"247"	1	0	0	0	0	0	0	0	0
