"V1" "V2" "V3" "V4" "V5"
"TOTAL_COSTS" 67.2312896982372 52.2593097138613 38.8583484209142 41.7143975602979 73.9764898935417
"BC_COSTS" 67.2312896982372 52.2593097138613 38.8583484209142 41.7143975602979 73.9764898935417
"SCREEN_COSTS" 0 0 0 0 0
"QALYS" 15.7517529082796 15.7350049135602 15.6990575633807 15.7970756894306 15.7924976151835
"LYS" 22.3637439951303 22.3347372757786 22.3156890454835 22.422364161831 22.4417969145664
"LG_SYMPT" 0.0178803896951973 0.014468015490681 0.00675518840277927 0.0088531053414472 0.0237110758671761
"HG_St1_SYMPT" 0.0110566243187493 0.00377777188103667 0.00547393677596063 0.00417664409223047 0.00885617438553535
"HG_St2_SYMPT" 0.00408325010303659 0.00156334411822508 0.00206286110956904 0.00249227942852211 0.00198171138604847
"HG_St3_SYMPT" 0.00165061056150218 0.000815813817440321 0.000877537310765434 0.00122717975970258 0.000686753507174382
"HG_St4_SYMPT" 0.00459442165884242 0.00389290919889777 0.00458722536159044 0.00369393797541992 0.00624857105216501
"LG_SCRN" 0 0 0 0 0
"HG_St1_SCRN" 0 0 0 0 0
"HG_St2_SCRN" 0 0 0 0 0
"HG_St3_SCRN" 0 0 0 0 0
"HG_St4_SCRN" 0 0 0 0 0
"HG_St1_MORT" 0.00218045866741776 0.000723434182800832 0.000700353319161837 0.000979662108950719 0.00167913415086089
"HG_St2_MORT" 0.00237044096687119 0.00103376037808656 0.000828179006449033 0.00111460042909914 0.00113756468794928
"HG_St3_MORT" 0.00149329903616372 0.000206114283596075 0.000435827485717193 0.0005307325698445 0.000502245690894234
"HG_St4_MORT" 0.00347687580044696 0.00356211539647231 0.00364334419866277 0.00271770122865472 0.00457679216488599
"Die_TURBT" 0 0 0 0 0
"Invite_DS" 0 0 0 0 0
"Respond_DS" 0 0 0 0 0
"Positive_DS" 0 0 0 0 0
"Respond_Cyst" 0 0 0 0 0
"Diagnostic_Cyst" 0 0 0 0 0
"TURBT" 0 0 0 0 0
"FP" 0 0 0 0 0
"FN" 0 0 0 0 0
