	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70		
TOTAL_COSTS	0	0.007671305	0.040511643	0.10669684	0.196901877	0.299148104	0.404842337	0.528522194	0.673412268	0.824372744	0.986754816	1.171176362	1.369989917	1.585041453	1.810776038	2.038628155	2.27622754	2.556295262	2.887657207	3.24536751	3.608334223	3.989362096	4.415368439	4.884900172	5.386665806	5.913109563	6.495148267	7.128366442	7.789524538	8.483346157	9.232479763	10.04425802	10.90682653	11.83118765	12.84118174	13.94630494	15.1604145	16.45384309	17.82582035	19.27546918	20.77574801	22.32942113	23.94997448	25.65050766	27.41245373	29.23485841	31.09929227	32.99116326	34.91841432	36.88483927	38.89826875	40.93020566	42.92330406	44.87854005	46.81274826	48.72455357	50.58933174	52.35140338	54.03125454	55.61079844	57.05448535	58.36603034	59.53398987	60.56918399	61.47210971	62.23481494	62.87232268	63.39327238	63.80693333	64.13641248	64.38801052		
BC_COSTS	0	0.007671305	0.040511643	0.10669684	0.196901877	0.299148104	0.404842337	0.528522194	0.673412268	0.824372744	0.986754816	1.171176362	1.369989917	1.585041453	1.810776038	2.038628155	2.27622754	2.556295262	2.887657207	3.24536751	3.608334223	3.989362096	4.415368439	4.884900172	5.386665806	5.913109563	6.495148267	7.128366442	7.789524538	8.483346157	9.232479763	10.04425802	10.90682653	11.83118765	12.84118174	13.94630494	15.1604145	16.45384309	17.82582035	19.27546918	20.77574801	22.32942113	23.94997448	25.65050766	27.41245373	29.23485841	31.09929227	32.99116326	34.91841432	36.88483927	38.89826875	40.93020566	42.92330406	44.87854005	46.81274826	48.72455357	50.58933174	52.35140338	54.03125454	55.61079844	57.05448535	58.36603034	59.53398987	60.56918399	61.47210971	62.23481494	62.87232268	63.39327238	63.80693333	64.13641248	64.38801052		
DIAG_COSTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
SCREEN_COSTS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
QALYS	0	0.737463833	1.447777863	2.130557133	2.786748799	3.41726213	4.022985538	4.604806346	5.163524879	5.699929311	6.214829418	6.708965896	7.183067123	7.637844475	8.073933829	8.491939988	8.892487609	9.276221809	9.643754709	9.995626229	10.33235295	10.65443255	10.9623936	11.25674489	11.53793961	11.80641895	12.06261476	12.30694138	12.53979397	12.76153062	12.97251597	13.17311638	13.36368975	13.54452955	13.71591385	13.87819587	14.03167282	14.17661142	14.31328521	14.44195207	14.56288446	14.67634925	14.78262643	14.88197157	14.97456758	15.06059561	15.14024371	15.21371524	15.28118428	15.34283216	15.39886518	15.44949993	15.4949852	15.53557103	15.5715199	15.60307378	15.63048203	15.65402101	15.67399576	15.69073745	15.70457978	15.71588311	15.72499184	15.73220712	15.73781586	15.74209891	15.74530136	15.74762932	15.74927597	15.75041658	15.75118791		
LYS	0	0.965631779	1.897516766	2.796775362	3.664457622	4.501586249	5.309187344	6.088242136	6.83961273	7.564163667	8.262806347	8.936355606	9.585588074	10.21128461	10.81415373	11.39485794	11.95406868	12.49248127	13.01076686	13.50952464	13.98932958	14.45073139	14.89429569	15.3205767	15.73007859	16.1232918	16.50068812	16.86271572	17.20979917	17.5423112	17.86063494	18.16515607	18.45626022	18.73423344	18.99936504	19.25206308	19.49263777	19.72136224	19.93851752	20.14436515	20.33918995	20.52327708	20.69693889	20.86043876	21.01394296	21.15760527	21.29161049	21.41616308	21.53141117	21.63752452	21.73471819	21.82323652	21.90337836	21.97547148	22.03985544	22.09683476	22.14674421	22.18998105	22.22699476	22.25828682	22.2843879	22.30588174	22.32334554	22.33730052	22.34824736	22.35667979	22.36303503	22.36770275	22.37104291	22.37337661	22.37496649		
LG_SYMPT	0	2.19E-06	4.90E-06	9.48E-06	1.16E-05	1.78E-05	3.24E-05	4.39E-05	5.61E-05	6.64E-05	8.33E-05	9.78E-05	0.000117427	0.000142458	0.000161766	0.000182756	0.000209323	0.000250548	0.000291201	0.000334498	0.000369133	0.0004271	0.000487452	0.000554359	0.000627952	0.000703691	0.000807537	0.000909031	0.001012317	0.00113468	0.001258049	0.001415447	0.001583741	0.001780391	0.002001363	0.002250232	0.002508239	0.002778241	0.003108549	0.003452091	0.003817304	0.00421214	0.004647265	0.005092736	0.005559706	0.006086804	0.006609189	0.007170668	0.007781755	0.008397333	0.0090621	0.009759081	0.010435758	0.011116631	0.011803996	0.012494442	0.013208871	0.0138613	0.01451492	0.015151319	0.015763479	0.01628222	0.016760608	0.017210357	0.017600659	0.017931819	0.018204307	0.018449766	0.018651192	0.01880915	0.018933587		
HG_St1_SYMPT	0	8.70E-07	3.25E-06	5.03E-06	8.17E-06	1.29E-05	1.52E-05	2.03E-05	2.36E-05	3.03E-05	3.39E-05	4.17E-05	5.06E-05	6.05E-05	6.77E-05	7.90E-05	9.06E-05	0.00010862	0.000122352	0.000141189	0.000157717	0.000179746	0.000202648	0.00022942	0.00025408	0.000284204	0.000324763	0.000366983	0.000402425	0.000453273	0.000513171	0.000573075	0.000639839	0.000714918	0.00080559	0.000901869	0.001008301	0.001136871	0.00126579	0.001418209	0.001548122	0.001721448	0.001894614	0.002085057	0.002295229	0.002502078	0.002741839	0.003009029	0.003274749	0.003587152	0.003881237	0.004177946	0.004514295	0.004853134	0.005191329	0.005551868	0.005919092	0.00627064	0.006656349	0.006976517	0.007276772	0.007551024	0.007819684	0.008075856	0.008310797	0.008481965	0.008662604	0.008796904	0.008916901	0.009008771	0.009069051		
HG_St2_SYMPT	0	6.27E-07	6.27E-07	1.40E-06	3.99E-06	5.46E-06	7.21E-06	9.44E-06	9.98E-06	1.04E-05	1.50E-05	1.68E-05	1.97E-05	2.25E-05	2.71E-05	3.24E-05	3.50E-05	3.95E-05	4.28E-05	4.92E-05	5.32E-05	6.15E-05	6.81E-05	7.31E-05	8.19E-05	9.19E-05	0.000101739	0.000111236	0.000126234	0.000139571	0.000157434	0.000173489	0.000192853	0.000220777	0.00025223	0.000286609	0.000330772	0.000367542	0.000413493	0.000456523	0.000501909	0.00055409	0.000609736	0.000672786	0.000738439	0.000818571	0.000888099	0.000980604	0.001056859	0.001149609	0.001249515	0.001339522	0.001439324	0.00154328	0.001649608	0.001781049	0.001895712	0.002005827	0.002104565	0.002214212	0.002310512	0.002405463	0.002495524	0.002572575	0.002645339	0.002714119	0.002772197	0.002821841	0.002860472	0.00289251	0.002914361		
HG_St3_SYMPT	0	0	0	1.45E-06	1.45E-06	1.91E-06	1.91E-06	1.91E-06	2.28E-06	5.32E-06	5.91E-06	7.58E-06	9.33E-06	1.17E-05	1.27E-05	1.44E-05	1.74E-05	2.02E-05	2.31E-05	2.51E-05	3.04E-05	3.22E-05	3.53E-05	4.17E-05	4.65E-05	5.12E-05	5.53E-05	6.36E-05	6.68E-05	7.26E-05	8.32E-05	9.06E-05	0.000101106	0.000112223	0.000124846	0.000133878	0.000157922	0.000173812	0.000199443	0.00022425	0.00025065	0.00026878	0.000290416	0.00032701	0.000356305	0.000381519	0.000418097	0.000457095	0.000508941	0.000562802	0.000610309	0.000663628	0.000722972	0.000780624	0.000835756	0.000892906	0.000958202	0.001014494	0.001082961	0.00114029	0.001190406	0.001244031	0.001292611	0.001338758	0.001371713	0.001409586	0.00144083	0.001463612	0.001479064	0.00149799	0.001512869		
HG_St4_SYMPT	0	0	2.91E-06	4.61E-06	7.61E-06	9.61E-06	9.61E-06	1.26E-05	1.60E-05	1.73E-05	2.07E-05	2.64E-05	2.97E-05	3.28E-05	3.55E-05	3.92E-05	4.37E-05	5.07E-05	5.85E-05	6.37E-05	7.33E-05	8.52E-05	9.91E-05	0.000113199	0.00012979	0.000146016	0.000168856	0.000188342	0.000217193	0.000243361	0.00027888	0.000309348	0.00034368	0.000378359	0.000420037	0.000464882	0.000524013	0.000579307	0.000653647	0.000719528	0.000809599	0.000900104	0.001015526	0.001123203	0.001246607	0.001384702	0.00152625	0.001679407	0.001847782	0.002014014	0.002213073	0.002414397	0.002591726	0.002804748	0.00302607	0.003251261	0.003465133	0.00367449	0.003914657	0.004112195	0.00431208	0.004509421	0.004696179	0.004866189	0.005008904	0.005126883	0.005238565	0.005330801	0.005408276	0.005468686	0.005512454		
LG_SCRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
HG_St1_SCRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
HG_St2_SCRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
HG_St3_SCRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
HG_St4_SCRN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
HG_St1_MORT	0	0	0	3.44E-07	7.51E-07	7.51E-07	7.51E-07	7.51E-07	2.36E-06	2.94E-06	4.34E-06	5.58E-06	6.79E-06	7.36E-06	9.68E-06	1.39E-05	1.43E-05	1.51E-05	1.75E-05	1.96E-05	2.09E-05	2.31E-05	2.78E-05	3.52E-05	3.74E-05	4.33E-05	5.22E-05	5.70E-05	6.44E-05	7.15E-05	7.90E-05	8.73E-05	9.88E-05	0.000115259	0.000125799	0.000139099	0.000156007	0.000177256	0.000198327	0.00022224	0.000251186	0.000274843	0.000304108	0.000340106	0.000378768	0.000417643	0.000479863	0.000548226	0.000629346	0.000712424	0.000794813	0.000877788	0.000976107	0.001059121	0.001141849	0.001239989	0.001338645	0.001429102	0.001503097	0.001585618	0.001669471	0.001749879	0.001820564	0.001891799	0.001949911	0.001996318	0.002040487	0.00207514	0.002107161	0.002129295	0.002144926		
