"V1" "V2"
"TOTAL_COSTS" 47.5362083064926 20.1194582451256
"BC_COSTS" 47.5362083064926 20.1194582451256
"SCREEN_COSTS" 0 0
"QALYS" 18.1197628280854 18.1482205276742
"LYS" 23.3607364532893 23.4321182998293
"LG_SYMPT" 0 0
"HG_St1_SYMPT" 0.0130512642439994 0.00557636108419452
"HG_St2_SYMPT" 0.00555823247038461 0.00129049049294147
"HG_St3_SYMPT" 0.00259520544740914 0.00168096665375877
"HG_St4_SYMPT" 0.00902774248153704 0.00178919114226554
"LG_SCRN" 0 0
"HG_St1_SCRN" 0 0
"HG_St2_SCRN" 0 0
"HG_St3_SCRN" 0 0
"HG_St4_SCRN" 0 0
"HG_St1_MORT" 0.00289543834683356 0.00105166317100918
"HG_St2_MORT" 0.00302942513135663 0.00114276406523773
"HG_St3_MORT" 0.00210749621869676 0.00120041154942455
"HG_St4_MORT" 0.00773419418339327 0.00178919114226554
"Die_TURBT" 0 0
"Invite_DS" 0 0
"Respond_DS" 0 0
"Positive_DS" 0 0
"Invite_FC" 0 0
"Diagnostic_FC" 0 0
"TURBT_FS" 0 0
"FP" 0 0
"FN" 0 0
"TOTAL_COSTS" 47.5362083064926 20.1194582451256
"BC_COSTS" 47.5362083064926 20.1194582451256
"SCREEN_COSTS" 0 0
"QALYS" 18.1197628280854 18.1482205276742
"LYS" 23.3607364532893 23.4321182998293
"LG_SYMPT" 0 0
"HG_St1_SYMPT" 0.0130512642439994 0.00557636108419452
"HG_St2_SYMPT" 0.00555823247038461 0.00129049049294147
"HG_St3_SYMPT" 0.00259520544740914 0.00168096665375877
"HG_St4_SYMPT" 0.00902774248153704 0.00178919114226554
"LG_SCRN" 0 0
"HG_St1_SCRN" 0 0
"HG_St2_SCRN" 0 0
"HG_St3_SCRN" 0 0
"HG_St4_SCRN" 0 0
"HG_St1_MORT" 0.00289543834683356 0.00105166317100918
"HG_St2_MORT" 0.00302942513135663 0.00114276406523773
"HG_St3_MORT" 0.00210749621869676 0.00120041154942455
"HG_St4_MORT" 0.00773419418339327 0.00178919114226554
"Die_TURBT" 0 0
"Invite_DS" 0 0
"Respond_DS" 0 0
"Positive_DS" 0 0
"Invite_FC" 0 0
"Diagnostic_FC" 0 0
"TURBT_FS" 0 0
"FP" 0 0
"FN" 0 0
"TOTAL_COSTS" 47.5362083064926 20.1194582451256
"BC_COSTS" 47.5362083064926 20.1194582451256
"SCREEN_COSTS" 0 0
"QALYS" 18.1197628280854 18.1482205276742
"LYS" 23.3607364532893 23.4321182998293
"LG_SYMPT" 0 0
"HG_St1_SYMPT" 0.0130512642439994 0.00557636108419452
"HG_St2_SYMPT" 0.00555823247038461 0.00129049049294147
"HG_St3_SYMPT" 0.00259520544740914 0.00168096665375877
"HG_St4_SYMPT" 0.00902774248153704 0.00178919114226554
"LG_SCRN" 0 0
"HG_St1_SCRN" 0 0
"HG_St2_SCRN" 0 0
"HG_St3_SCRN" 0 0
"HG_St4_SCRN" 0 0
"HG_St1_MORT" 0.00289543834683356 0.00105166317100918
"HG_St2_MORT" 0.00302942513135663 0.00114276406523773
"HG_St3_MORT" 0.00210749621869676 0.00120041154942455
"HG_St4_MORT" 0.00773419418339327 0.00178919114226554
"Die_TURBT" 0 0
"Invite_DS" 0 0
"Respond_DS" 0 0
"Positive_DS" 0 0
"Invite_FC" 0 0
"Diagnostic_FC" 0 0
"TURBT_FS" 0 0
"FP" 0 0
"FN" 0 0
"TOTAL_COSTS" 47.5362083064926 20.1194582451256
"BC_COSTS" 47.5362083064926 20.1194582451256
"SCREEN_COSTS" 0 0
"QALYS" 18.1197628280854 18.1482205276742
"LYS" 23.3607364532893 23.4321182998293
