Age_lb	inc1.male	inc2.male	inc3.4.male	incidence.rate.male	LG.male	BC.death.male	inc1.fem	inc2.fem	inc3.4.fem	incidence.rate.fem	LG.fem	BC.death.female
30	9.75E-07	5.83E-07	1.44E-06	0.000003	3.23E-06	0	6.50E-07	3.89E-07	9.62E-07	0.000002	2.15E-06	0.000001
35	1.95E-06	1.17E-06	2.89E-06	0.000006	6.46E-06	0.000002	1.30E-06	7.77E-07	1.92E-06	0.000004	4.31E-06	0.000002
40	5.52E-06	3.30E-06	8.17E-06	0.000017	1.83E-05	0.000007	3.25E-06	1.94E-06	4.81E-06	0.00001	1.08E-05	0.000005
45	1.20E-05	7.19E-06	1.78E-05	0.000037	3.99E-05	0.000009	5.85E-06	3.50E-06	8.66E-06	0.000018	1.94E-05	0.000009
50	2.63E-05	1.57E-05	3.89E-05	0.000081	8.73E-05	0.00002	9.75E-06	5.83E-06	1.44E-05	0.00003	3.23E-05	0.000014
55	4.91E-05	2.93E-05	7.26E-05	0.000151	0.000162691	0.000044	1.88E-05	1.13E-05	2.79E-05	0.000058	6.25E-05	0.000022
60	9.75E-05	5.83E-05	0.000144252	0.0003	0.000323226	0.00009	3.09E-05	1.85E-05	4.57E-05	0.000095	0.000102355	0.000035
65	0.000173811	0.00010394	0.000257249	0.000535	0.000576421	0.000167	5.07E-05	3.03E-05	7.50E-05	0.000156	0.000168078	0.000071
70	0.000293042	0.000175241	0.000433718	0.000902	0.000971834	0.000333	8.22E-05	4.92E-05	0.000121653	0.000253	0.000272588	0.000111
75	0.000448009	0.000267912	0.000663079	0.001379	0.001485764	0.000606	0.000127353	7.62E-05	0.000188489	0.000392	0.000422349	0.000208
80	0.000613048	0.000366606	0.000907345	0.001887	0.002033094	0.001075	0.000180308	0.000107825	0.000266866	0.000555	0.000597969	0.00038
85	0.000752747	0.000450147	0.001114107	0.002317	0.002496386	0.001853	0.000227741	0.00013619	0.000337069	0.000701	0.000755272	0.000576
90	0.000790108	0.000472489	0.001169403	0.002432	0.002620289	0.002861	0.000222868	0.000133276	0.000329856	0.000686	0.000739111	0.000809
95	0.000790108	0.000472489	0.001169403	0.002432	0.002620289	0.002861	0.000222868	0.000133276	0.000329856	0.000686	0.000739111	0.000809
