Age_lb	inc1.male	inc2.male	inc3.male	inc4.male	incidence.male	LG.male	BC.death.male	inc1.fem	inc2.fem	inc3.fem	inc4.fem	incidence.fem	LG.fem	BC.death.female
30	 2.41 	 1.62 	 0.88 	 1.09 	6	6.46	1	 1.93 	 1.34 	 0.74 	 0.99 	5	5.38	2
35	 5.76 	 3.81 	 2.04 	 2.40 	14	15.07	4	 2.92 	 2.11 	 1.21 	 1.76 	8	8.62	4
40	 14.35 	 9.51 	 5.11 	 6.03 	35	37.68	14	 7.73 	 5.56 	 3.17 	 4.54 	21	22.68	10
45	 34.38 	 22.61 	 12.06 	 13.94 	83	89.51	21	 14.51 	 10.75 	 6.26 	 9.48 	41	44.19	21
50	 77.83 	 50.80 	 26.94 	 30.42 	186	200.47	46	 23.90 	 18.61 	 11.18 	 18.31 	72	77.52	34
55	 129.56 	 84.65 	 44.92 	 50.87 	310	334	91	 41.57 	 32.12 	 19.20 	 31.10 	124	133.62	47
60	 222.57 	 144.69 	 76.48 	 85.25 	529	569.96	158	 54.63 	 44.45 	 27.39 	 47.53 	174	187.47	65
65	 392.59 	 249.94 	 129.81 	 134.66 	907	977.22	283	 96.45 	 73.17 	 43.25 	 68.14 	281	302.76	129
70	 573.21 	 364.88 	 189.48 	 196.43 	1324	1426.51	489	 138.93 	 105.65 	 62.53 	 98.88 	406	437.43	178
75	 539.69 	 372.35 	 206.20 	 270.77 	1389	1496.54	610	 101.63 	 110.86 	 78.15 	 172.37 	463	498.85	246
80	 517.61 	 359.30 	 199.87 	 266.21 	1343	1446.98	766	 125.44 	 125.20 	 85.24 	 178.12 	514	553.79	352
85	 281.59 	 231.34 	 143.36 	 251.71 	908	978.3	726	 57.36 	 97.49 	 77.81 	 201.34 	434	467.6	356
90	 126.78 	 109.05 	 69.27 	 127.90 	433	466.52	509	 52.04 	 64.43 	 47.42 	 111.11 	275	296.29	324
														
