inc1.male_lb	inc2.male_lb	inc3.male_lb	inc4.male_lb	incidence.rate.male_lb	LG.male_lb	BC.death.male_lb	inc1.fem_lb	inc2.fem_lb	inc3.fem_lb	inc4.fem_lb	incidence.rate.fem_lb	LG.fem_lb	BC.death.female_lb	inc1.male_ub	inc2.male_ub	inc3.male_ub	inc4.male_ub	incidence.rate.male_ub	LG.male_ub	BC.death.male_ub	inc1.fem_ub	inc2.fem_ub	inc3.fem_ub	inc4.fem_ub	incidence.rate.fem_ub	LG.fem_ub	BC.death.female_ub
3.10E-01	7.14E-02	3.60E-01	1.68E-02	2.68E+00	3.01E+00	0.00E+00	1.01E-01	1.43E-02	1.64E-01	1.87E-04	1.36E+00	1.54E+00	3.28E-01	5.93E+00	4.33E+00	6.17E+00	3.50E+00	1.28E+01	1.35E+01	0.00E+00	4.61E+00	3.43E+00	5.09E+00	2.35E+00	9.54E+00	1.00E+01	6.01E+00
1.22E+00	4.35E-01	1.37E+00	1.72E-01	6.98E+00	7.71E+00	1.28E+00	5.73E-01	1.64E-01	7.97E-01	1.39E-02	4.05E+00	4.51E+00	1.32E+00	9.14E+00	6.50E+00	9.57E+00	5.15E+00	2.11E+01	2.23E+01	9.30E+00	7.05E+00	5.09E+00	7.85E+00	3.41E+00	1.56E+01	1.65E+01	9.44E+00
5.64E+00	2.63E+00	6.18E+00	1.42E+00	2.40E+01	2.62E+01	7.82E+00	2.62E+00	1.09E+00	3.38E+00	2.50E-01	1.27E+01	1.40E+01	5.00E+00	1.87E+01	1.27E+01	1.96E+01	9.71E+00	4.70E+01	5.01E+01	2.25E+01	1.26E+01	8.76E+00	1.43E+01	5.61E+00	3.04E+01	3.24E+01	1.75E+01
1.66E+01	8.61E+00	1.80E+01	5.19E+00	6.23E+01	6.78E+01	1.15E+01	6.73E+00	3.21E+00	8.40E+00	1.02E+00	2.79E+01	3.05E+01	1.19E+01	3.63E+01	2.39E+01	3.84E+01	1.78E+01	9.70E+01	1.04E+02	2.86E+01	2.06E+01	1.39E+01	2.35E+01	8.54E+00	5.24E+01	5.59E+01	2.92E+01
4.55E+01	2.49E+01	4.90E+01	1.59E+01	1.58E+02	1.72E+02	3.32E+01	1.45E+01	7.42E+00	1.77E+01	2.75E+00	5.49E+01	5.97E+01	2.26E+01	7.58E+01	4.83E+01	8.02E+01	3.53E+01	2.11E+02	2.27E+02	5.95E+01	3.32E+01	2.18E+01	3.80E+01	1.29E+01	8.78E+01	9.38E+01	4.50E+01
8.94E+01	5.01E+01	9.59E+01	3.27E+01	3.00E+02	3.24E+02	7.91E+01	3.12E+01	1.69E+01	3.79E+01	6.98E+00	1.11E+02	1.21E+02	3.75E+01	1.30E+02	8.17E+01	1.38E+02	5.90E+01	3.72E+02	3.99E+02	1.18E+02	5.69E+01	3.68E+01	6.58E+01	2.11E+01	1.57E+02	1.68E+02	6.53E+01
1.58E+02	9.05E+01	1.70E+02	5.99E+01	5.21E+02	5.63E+02	1.45E+02	4.65E+01	2.55E+01	5.59E+01	1.10E+01	1.61E+02	1.75E+02	5.36E+01	2.12E+02	1.32E+02	2.25E+02	9.40E+01	6.14E+02	6.60E+02	1.96E+02	7.70E+01	4.91E+01	8.90E+01	2.77E+01	2.15E+02	2.30E+02	8.60E+01
2.50E+02	1.44E+02	2.68E+02	9.64E+01	8.12E+02	8.77E+02	2.40E+02	7.04E+01	3.92E+01	8.43E+01	1.74E+01	2.39E+02	2.58E+02	1.02E+02	3.16E+02	1.95E+02	3.36E+02	1.39E+02	9.28E+02	9.97E+02	3.04E+02	1.07E+02	6.76E+01	1.24E+02	3.75E+01	3.03E+02	3.25E+02	1.46E+02
4.29E+02	2.50E+02	4.59E+02	1.68E+02	1.38E+03	1.49E+03	4.91E+02	1.22E+02	6.92E+01	1.45E+02	3.17E+01	4.04E+02	4.37E+02	1.69E+02	5.14E+02	3.15E+02	5.47E+02	2.23E+02	1.52E+03	1.64E+03	5.81E+02	1.69E+02	1.06E+02	1.97E+02	5.75E+01	4.87E+02	5.23E+02	2.23E+02
4.56E+02	2.66E+02	4.88E+02	1.79E+02	1.46E+03	1.58E+03	6.25E+02	1.40E+02	7.98E+01	1.67E+02	3.68E+01	4.62E+02	5.00E+02	2.37E+02	5.44E+02	3.33E+02	5.79E+02	2.35E+02	1.61E+03	1.74E+03	7.27E+02	1.90E+02	1.19E+02	2.22E+02	6.44E+01	5.50E+02	5.91E+02	3.01E+02
