inc1.male_lb	inc2.male_lb	inc3.male_lb	inc4.male_lb	incidence.rate.male_lb	LG.male_lb	BC.death.male_lb	inc1.fem_lb	inc2.fem_lb	inc3.fem_lb	inc4.fem_lb	incidence.rate.fem_lb	LG.fem_lb	BC.death.female_lb	inc1.male_ub	inc2.male_ub	inc3.male_ub	inc4.male_ub	incidence.rate.male_ub	LG.male_ub	BC.death.male_ub	inc1.fem_ub	inc2.fem_ub	inc3.fem_ub	inc4.fem_ub	incidence.rate.fem_ub	LG.fem_ub	BC.death.female_ub
1.37E-07	3.16E-08	1.59E-07	7.43E-09	1.19E-06	1.33E-06	0.00E+00	4.47E-08	6.35E-09	7.25E-08	8.28E-11	6.02E-07	6.83E-07	1.45E-07	2.61823E-06	1.91375E-06	2.72451E-06	1.54442E-06	5.64194E-06	5.95814E-06	0	2.04313E-06	1.51784E-06	2.25505E-06	1.04246E-06	4.22248E-06	4.44201E-06	2.66267E-06
5.59E-07	1.99E-07	6.30E-07	7.87E-08	3.20E-06	3.54E-06	5.85E-07	2.57E-07	7.36E-08	3.58E-07	6.25E-09	1.82E-06	2.03E-06	5.95E-07	4.19418E-06	2.98165E-06	4.39167E-06	2.36062E-06	9.66256E-06	1.02458E-05	4.26841E-06	3.17027E-06	2.28918E-06	3.52861E-06	1.5351E-06	7.02506E-06	7.43615E-06	4.24188E-06
2.78E-06	1.29E-06	3.04E-06	7.00E-07	1.18E-05	1.29E-05	3.85E-06	1.27E-06	5.28E-07	1.64E-06	1.21E-07	6.16E-06	6.79E-06	2.43E-06	9.18854E-06	6.22686E-06	9.66601E-06	4.77692E-06	2.31197E-05	2.4633E-05	1.10793E-05	6.13557E-06	4.25367E-06	6.92575E-06	2.72541E-06	1.47589E-05	1.57291E-05	8.48497E-06
7.80E-06	4.05E-06	8.48E-06	2.44E-06	2.93E-05	3.19E-05	5.43E-06	3.09E-06	1.47E-06	3.86E-06	4.67E-07	1.28E-05	1.40E-05	5.47E-06	1.70843E-05	1.12169E-05	1.80762E-05	8.38099E-06	4.56115E-05	4.88262E-05	1.34577E-05	9.47313E-06	6.38767E-06	1.079E-05	3.92407E-06	2.40566E-05	2.56721E-05	1.34002E-05
2.01E-05	1.10E-05	2.16E-05	7.00E-06	6.97E-05	7.56E-05	1.46E-05	6.17E-06	3.16E-06	7.54E-06	1.17E-06	2.34E-05	2.54E-05	9.63E-06	3.33784E-05	2.12583E-05	3.53406E-05	1.55429E-05	9.31191E-05	9.98661E-05	2.62231E-05	1.41327E-05	9.30163E-06	1.6178E-05	5.50895E-06	3.74031E-05	3.99671E-05	1.91779E-05
4.03E-05	2.26E-05	4.32E-05	1.48E-05	1.35E-04	1.46E-04	3.57E-05	1.36E-05	7.38E-06	1.65E-05	3.04E-06	4.86E-05	5.27E-05	1.64E-05	5.87438E-05	3.68429E-05	6.2283E-05	2.6601E-05	0.000167598	0.000179904	5.31512E-05	2.48113E-05	1.60468E-05	2.86986E-05	9.17944E-06	6.82605E-05	7.31359E-05	2.8471E-05
8.39E-05	4.79E-05	9.00E-05	3.17E-05	2.76E-04	2.98E-04	7.70E-05	2.36E-05	1.30E-05	2.84E-05	5.57E-06	8.19E-05	8.87E-05	2.72E-05	0.000112077	6.9682E-05	0.000119034	4.97959E-05	0.000325196	0.000349361	0.000104024	3.91373E-05	2.49764E-05	4.52604E-05	1.40657E-05	0.000109094	0.000116967	4.37373E-05
1.54E-04	8.89E-05	1.65E-04	5.94E-05	5.00E-04	5.40E-04	1.48E-04	4.07E-05	2.27E-05	4.87E-05	1.01E-05	1.38E-04	1.49E-04	5.90E-05	0.00019466	0.000120192	0.000206975	8.53924E-05	0.000571139	0.00061391	0.000187447	6.18432E-05	3.90328E-05	7.17223E-05	2.16804E-05	0.000175146	0.000187931	8.409E-05
2.67E-04	1.55E-04	2.86E-04	1.05E-04	8.56E-04	9.24E-04	3.05E-04	6.93E-05	3.94E-05	8.28E-05	1.80E-05	2.30E-04	2.49E-04	9.60E-05	0.00032009	0.00019629	0.000340601	0.000138629	0.000949001	0.001020597	0.000361795	9.61358E-05	6.00993E-05	0.000111877	3.27486E-05	0.00027705	0.000297531	0.000127109
4.10E-04	2.38E-04	4.38E-04	1.61E-04	1.31E-03	1.42E-03	5.61E-04	1.09E-04	6.19E-05	1.30E-04	2.85E-05	3.59E-04	3.88E-04	1.84E-04	0.000488139	0.000299136	0.000519458	0.000211137	0.001448739	0.001558117	0.000652532	0.000147555	9.19879E-05	0.000171843	4.99346E-05	0.000426897	0.000458544	0.000233618
