inc1.male_lb	inc2.male_lb	inc3.male_lb	inc4.male_lb	incidence.rate.male_lb	LG.male_lb	BC.death.male_lb	inc1.fem_lb	inc2.fem_lb	inc3.fem_lb	inc4.fem_lb	incidence.rate.fem_lb	LG.fem_lb	BC.death.female_lb	inc1.male_ub	inc2.male_ub	inc3.male_ub	inc4.male_ub	incidence.rate.male_ub	LG.male_ub	BC.death.male_ub	inc1.fem_ub	inc2.fem_ub	inc3.fem_ub	inc4.fem_ub	incidence.rate.fem_ub	LG.fem_ub	BC.death.female_ub
1.00E-07	2.04E-08	2.51E-07	1.18E-07	4.13E-09	9.73E-07	1.10E-06	1.12E-08	6.07E-08	9.97E-09	1.68E-07	9.56E-08	1.90E-10	7.19E-07	2.42E-06	1.78E-06	3.11E-06	2.52E-06	1.44E-06	5.15E-06	5.44E-06	1.63E-06	2.17E-06	1.61E-06	2.77E-06	2.40E-06	1.10E-06	4.53E-06
6.32E-07	2.32E-07	1.22E-06	7.10E-07	9.48E-08	3.51E-06	3.88E-06	5.00E-07	2.04E-07	5.40E-08	4.54E-07	2.89E-07	3.72E-09	1.55E-06	4.40E-06	3.12E-06	5.83E-06	4.61E-06	2.46E-06	1.02E-05	1.08E-05	4.02E-06	2.96E-06	2.15E-06	3.83E-06	3.29E-06	1.45E-06	6.48E-06
2.83E-06	1.32E-06	4.81E-06	3.10E-06	7.16E-07	1.20E-05	1.31E-05	3.77E-06	1.31E-06	5.47E-07	2.36E-06	1.69E-06	1.27E-07	6.31E-06	9.28E-06	6.29E-06	1.27E-05	9.77E-06	4.82E-06	2.34E-05	2.49E-05	1.09E-05	6.22E-06	4.31E-06	8.36E-06	7.03E-06	2.76E-06	1.50E-05
8.34E-06	4.35E-06	1.34E-05	9.05E-06	2.63E-06	3.11E-05	3.38E-05	6.11E-06	3.29E-06	1.58E-06	5.51E-06	4.09E-06	5.07E-07	1.35E-05	1.79E-05	1.17E-05	2.50E-05	1.89E-05	8.74E-06	4.79E-05	5.12E-05	1.45E-05	9.82E-06	6.61E-06	1.35E-05	1.12E-05	4.05E-06	2.50E-05
2.03E-05	1.11E-05	3.16E-05	2.19E-05	7.10E-06	7.06E-05	7.65E-05	1.48E-05	6.35E-06	3.26E-06	1.02E-05	7.76E-06	1.22E-06	2.40E-05	3.37E-05	2.15E-05	4.79E-05	3.57E-05	1.57E-05	9.41E-05	0.000100952	2.65E-05	1.44E-05	9.47E-06	2.00E-05	1.65E-05	5.60E-06	3.82E-05
3.70E-05	2.07E-05	5.69E-05	3.97E-05	1.35E-05	1.25E-04	1.35E-04	3.31E-05	1.25E-05	6.76E-06	1.98E-05	1.52E-05	2.76E-06	4.50E-05	5.48E-05	3.44E-05	7.85E-05	5.81E-05	2.49E-05	0.000155843	0.000167262	4.99E-05	2.33E-05	1.51E-05	3.30E-05	2.70E-05	8.68E-06	6.40E-05
7.79E-05	4.44E-05	1.19E-04	8.36E-05	2.94E-05	2.57E-04	2.78E-04	7.11E-05	2.18E-05	1.19E-05	3.39E-05	2.62E-05	5.07E-06	7.58E-05	0.000105138	6.54E-05	0.000151736	0.000111649	4.68E-05	0.000304477	0.000327069	9.72E-05	3.67E-05	2.35E-05	5.21E-05	4.25E-05	1.33E-05	0.000102062
1.61E-04	9.31E-05	2.44E-04	1.73E-04	6.22E-05	5.23E-04	5.64E-04	1.55E-04	4.25E-05	2.37E-05	6.54E-05	5.09E-05	1.06E-05	1.44E-04	0.000202684	0.000125068	0.00029425	0.000215523	8.88E-05	0.00059526	0.000639868	0.000195088	6.41E-05	4.04E-05	9.17E-05	7.44E-05	2.24E-05	0.000181858
2.43E-04	1.41E-04	3.66E-04	2.60E-04	9.49E-05	7.80E-04	8.42E-04	2.78E-04	6.28E-05	3.56E-05	9.61E-05	7.51E-05	1.62E-05	2.09E-04	0.000293568	0.000180224	0.00042755	0.000312341	0.000127404	0.000868915	0.000934391	0.000331872	8.84E-05	5.54E-05	0.000127225	0.000102842	3.03E-05	0.000254078
3.68E-04	2.14E-04	5.55E-04	3.94E-04	1.44E-04	1.18E-03	1.28E-03	5.05E-04	9.88E-05	5.61E-05	1.51E-04	1.18E-04	2.58E-05	3.27E-04	0.000443094	0.000271859	0.000645555	0.00047146	0.000192085	0.001312658	0.001411634	0.000591602	0.000136037	8.49E-05	0.000196084	0.000158356	4.62E-05	0.000392551
5.22E-04	3.03E-04	7.86E-04	5.59E-04	2.04E-04	1.68E-03	1.81E-03	9.39E-04	1.47E-04	8.40E-05	2.25E-04	1.76E-04	3.88E-05	4.87E-04	0.00062986	0.000386609	0.000917423	0.000670152	0.000273262	0.001864771	0.002005314	0.001081632	0.000199833	0.000124476	0.000288402	0.000232746	6.76E-05	0.000578427
6.24E-04	3.60E-04	9.44E-04	6.69E-04	2.41E-04	2.02E-03	2.19E-03	1.61E-03	1.88E-04	1.07E-04	2.88E-04	2.25E-04	4.89E-05	6.26E-04	0.000784687	0.00048419	0.001139187	0.000834395	0.000343811	0.002304537	0.002477234	0.00185638	0.000262283	0.000163912	0.000377751	0.000305207	8.95E-05	0.000755341
7.30E-04	4.14E-04	1.12E-03	7.84E-04	2.72E-04	2.43E-03	2.62E-03	2.87E-03	2.33E-04	1.30E-04	3.59E-04	2.79E-04	5.77E-05	7.89E-04	0.001016876	0.000635529	0.001464485	0.001079756	0.000456271	0.00292814	0.00314446	0.003418069	0.000352571	0.000222555	0.000504569	0.000409132	0.000123515	0.000999522
