Age_lb	inc1.male	inc2.male	inc3.male	inc4.male	incidence.rate.male	LG.male	BC.death.male	inc1.fem	inc2.fem	inc3.fem	inc4.fem	incidence.rate.fem	LG.fem	BC.death.female
30	0.000000975	0.000000583	1.03814E-06	4.0186E-07	0.000003	0.00000323	0	0.00000065	0.000000389	7.65462E-07	1.96538E-07	0.000002	2.15E-06	0.000001
35	0.00000195	0.00000117	2.08349E-06	8.06512E-07	0.000006	0.00000646	0.000002	0.0000013	0.000000777	1.52774E-06	3.92258E-07	0.000004	0.00000431	0.000002
40	0.00000552	0.0000033	0.00000589	0.00000228	0.000017	0.0000183	0.000007	0.00000325	0.00000194	3.82731E-06	9.82688E-07	0.00001	0.0000108	0.000005
45	0.000012	0.00000719	1.28326E-05	4.96744E-06	0.000037	0.0000399	0.000009	0.00000585	0.0000035	6.89075E-06	1.76925E-06	0.000018	0.0000194	0.000009
50	0.0000263	0.0000157	2.80442E-05	1.08558E-05	0.000081	0.0000873	0.00002	0.00000975	0.00000583	1.14581E-05	2.94194E-06	0.00003	0.0000323	0.000014
55	0.0000491	0.0000293	5.23395E-05	2.02605E-05	0.000151	0.000162691	0.000044	0.0000188	0.0000113	0.0000222	0.0000057	0.000058	0.0000625	0.000022
60	0.0000975	0.0000583	0.000103996	4.02564E-05	0.0003	0.000323226	0.00009	0.0000309	0.0000185	3.63634E-05	9.33656E-06	0.000095	0.000102355	0.000035
65	0.000173811	0.00010394	0.000185459	7.17904E-05	0.000535	0.000576421	0.000167	0.0000507	0.0000303	5.96774E-05	1.53226E-05	0.000156	0.000168078	0.000071
70	0.000293042	0.000175241	0.00031268	0.000121038	0.000902	0.000971834	0.000333	0.0000822	0.0000492	9.67992E-05	2.48538E-05	0.000253	0.000272588	0.000111
75	0.000448009	0.000267912	0.000478034	0.000185045	0.001379	0.001485764	0.000606	0.000127353	0.0000762	0.00014998	3.85085E-05	0.000392	0.000422349	0.000208
80	0.000613048	0.000366606	0.000654132	0.000253213	0.001887	0.002033094	0.001075	0.000180308	0.000107825	0.000212345	5.4521E-05	0.000555	0.000597969	0.00038
85	0.000752747	0.000450147	0.000803193	0.000310914	0.002317	0.002496386	0.001853	0.000227741	0.00013619	0.000268205	6.88636E-05	0.000701	0.000755272	0.000576
90	0.000790108	0.000472489	0.000843058	0.000326345	0.002432	0.002620289	0.002861	0.000222868	0.000133276	0.000262466	6.73899E-05	0.000686	0.000739111	0.000809
95	0.000790108	0.000472489	0.000843058	0.000326345	0.002432	0.002620289	0.002861	0.000222868	0.000133276	0.000262466	6.73899E-05	0.000686	0.000739111	0.000809
100	0.000790108	0.000472489	0.000843058	0.000326345	0.002432	0.002620289	0.002861	0.000222868	0.000133276	0.000262466	6.73899E-05	0.000686	0.000739111	0.000809
