Age_lb	inc1.male	inc2.male	inc3.male	inc4.male	incidence.male	LG.male	BC.death.male	inc1.fem	inc2.fem	inc3.fem	inc4.fem	incidence.fem	LG.fem	BC.death.female
30.00	1.95	1.17	2.08	0.80	6.00	6.46	1.00	1.63	0.97	1.91	0.49	5.00	5.38	2.00
35.00	4.55	2.73	4.86	1.88	14.00	15.07	4.00	2.60	1.55	3.06	0.78	8.00	8.62	4.00
40.00	11.36	6.79	12.13	4.69	35.00	37.68	14.00	6.83	4.07	8.04	2.06	21.00	22.68	10.00
45.00	26.92	16.13	28.79	11.14	83.00	89.51	21.00	13.33	7.97	15.70	4.03	41.00	44.19	21.00
50.00	60.39	36.05	64.40	24.93	186.00	200.47	46.00	23.40	13.99	27.50	7.06	72.00	77.52	34.00
55.00	100.80	60.15	107.45	41.59	310.00	334.00	91.00	40.19	24.16	47.46	12.19	124.00	133.62	47.00
60.00	171.93	102.80	183.38	70.99	529.00	569.96	158.00	56.60	33.88	66.60	17.10	174.00	187.47	65.00
65.00	294.67	176.21	314.41	121.71	907.00	977.22	283.00	91.33	54.58	107.50	27.60	281.00	302.76	129.00
70.00	430.14	257.23	458.97	177.66	1324.00	1426.51	489.00	131.91	78.95	155.34	39.88	406.00	437.43	178.00
75.00	451.26	269.85	481.50	186.39	1389.00	1496.54	610.00	150.42	90.00	177.15	45.48	463.00	498.85	246.00
80.00	436.31	260.92	465.55	180.21	1343.00	1446.98	766.00	166.99	99.86	196.66	50.49	514.00	553.79	352.00
85.00	294.99	176.41	314.76	121.84	908.00	978.30	726.00	141.00	84.32	166.05	42.63	434.00	467.60	356.00
90.00	140.67	84.12	150.10	58.10	433.00	466.52	509.00	89.34	53.43	105.22	27.01	275.00	296.29	324.00
