2	2	1	1	6	6	1	2	1	1	1	5	5	2
5	4	2	2	14	15	4	3	2	1	1	8	9	4
14	9	5	6	35	38	14	8	6	3	3	21	23	10
32	21	11	13	83	90	21	17	12	7	6	41	44	21
72	47	25	29	186	200	46	29	22	13	8	72	78	34
120	79	42	49	310	334	91	51	38	22	14	124	134	47
205	134	71	81	529	570	158	72	55	32	15	174	187	65
369	236	123	129	907	977	283	120	87	50	23	281	303	129
538	344	179	189	1324	1427	489	174	127	73	33	406	437	178
467	329	185	254	1389	1497	610	175	154	100	34	463	499	246
452	320	181	252	1343	1447	766	191	164	104	55	514	554	352
217	193	124	237	908	978	726	122	136	97	78	434	468	356
105	96	63	123	433	467	509	74	77	54	70	275	296	324
