age	year	sex	S1	S1_lb	S1_ub	S2	S2_lb	S2_ub	S3	S3_lb	S3_ub	S4	S4_lb	S4_ub
25	1	1	97.20	93.90	100.50	80.10	67.00	93.20	81.10	64.70	97.50	47.90	33.70	62.10
35	1	1	97.2	93.9	100.5	80.1	67	93.2	81.1	64.7	97.5	47.9	33.7	62.1
45	1	1	97.90	96.60	99.30	85.00	80.60	89.40	83.40	75.10	91.70	44.90	37.60	52.10
55	1	1	98.00	97.20	98.80	85.60	83.20	88.10	78.20	72.50	83.80	42.30	38.10	46.50
65	1	1	96.50	95.80	97.20	80.62	78.80	82.40	75.50	71.90	79.10	43.00	40.40	45.70
75	1	1	92.70	91.80	93.60	64.30	62.70	66.00	59.80	56.10	63.40	28.30	26.30	30.30
25	1	0	92.30	82.30	102.40	52.20	32.40	72.00	75.10	54.60	95.50	36.00	24.40	47.60
35	1	0	92.3	82.3	102.4	52.2	32.4	72	75.1	54.6	95.5	36	24.4	47.6
45	1	0	97.60	94.70	100.40	78.40	70.70	86.10	72.40	60.60	84.30	37.30	29.50	45.10
55	1	0	97.80	96.30	99.40	78.20	73.00	83.30	76.00	67.09	84.80	38.70	33.00	44.40
65	1	0	94.70	93.20	96.20	72.60	69.20	75.90	65.80	59.80	71.80	34.80	30.77	38.80
75	1	0	86.50	84.60	88.30	55.50	53.00	58.00	42.90	37.90	48.00	19.90	17.40	22.40
25	5	1	84.7	80.3	89.1	57.90	50.59	65.20	50.08	37.13	63.69	16.08	9.20	23.91
35	5	1	84.7	80.3	89.1	57.9	50.5859375	65.2	50.07973621	37.13142477	63.68865867	16.07990544	9.198950131	23.90516129
55	5	1	87.6	85	90.2	54.70	50.30	59.20	51.50	43.10	59.90	13.97	10.26	20.06
65	5	1	81.2	79.1	83.4	53.99	50.90	57.10	48.00	42.40	53.70	14.20	10.40	17.90
75	5	1	69.7	66.5	72.9	34.00	31.10	36.90	31.80	26.50	37.10	15.40	12.90	18.00
25	5	0	81.64	69.91	93.95	34.85	18.93	52.93	42.49	28.48	57.32	11.22	5.93	17.72
35	5	0	81.63548057	69.90799585	93.95251509	34.85083568	18.92673267	52.93379791	42.49078947	28.48377753	57.32252358	11.21539623	5.926246719	17.72267482
45	5	0	86.32	80.44	92.12	52.34	41.30	63.30	40.96	31.61	50.60	11.22	5.93	17.72
55	5	0	86.50	81.80	91.20	48.26	42.41	54.33	43.00	35.00	50.90	9.74	6.61	14.87
65	5	0	81.00	77.20	84.70	44.80	40.20	49.50	18.10	11.90	24.30	9.90	6.70	13.27
75	5	0	67.60	62.90	72.40	27.30	23.50	31.00	11.80	7.54	16.25	10.74	8.31	13.34
15	10	1	72.92	69.14	76.71	49.85	43.55	56.13	43.12	31.97	54.83	13.84	10.14	13.63
55	10	1	75.42	73.18	77.66	47.09	43.30	50.97	44.34	37.11	51.57	12.98	8.81	15.21
65	10	1	69.91	68.10	71.80	46.48	43.82	49.16	41.33	36.50	46.23	12.23	8.95	15.41
75	10	1	60.01	57.25	62.76	29.27	26.78	31.77	27.38	22.82	31.94	13.26	11.11	15.50
25	10	0	76.29	65.33	87.81	32.57	17.69	49.47	39.71	26.62	53.57	9.66	7.07	9.51
35	10	0	76.29484166	65.33457556	87.80608887	32.57087447	17.68853521	49.47083917	39.7110182	26.62035283	53.57245195	9.656036326	7.072026605	9.507653738
45	10	0	80.68	75.18	86.09	48.92	38.60	59.16	38.28	29.55	47.29	9.66	7.07	9.51
55	10	0	80.84	76.45	85.23	45.10	39.63	50.77	40.19	32.71	47.57	9.05	6.14	10.61
65	10	0	75.70	72.15	79.16	41.87	37.57	46.26	16.92	11.12	22.71	8.53	6.25	10.75
75	10	0	63.18	58.79	67.66	25.51	21.96	28.97	11.03	7.05	15.18	9.25	7.75	10.81
