age	year.surv	sex	S1	S2	S3	S4
25	0	1	100	100	100	100
35	0	1	100	100	100	100
45	0	1	100	100	100	100
55	0	1	100	100	100	100
65	0	1	100	100	100	100
75	0	1	100	100	100	100
25	0	0	100	100	100	100
35	0	0	100	100	100	100
45	0	0	100	100	100	100
55	0	0	100	100	100	100
65	0	0	100	100	100	100
75	0	0	100	100	100	100
25	1	1	97.20	80.48	80.48	47.90
35	1	1	97.20	80.48	80.48	47.90
45	1	1	97.90	85.00	83.40	44.90
55	1	1	98.00	85.60	78.20	42.30
65	1	1	96.50	80.62	75.50	43.00
75	1	1	92.70	64.30	59.80	28.30
25	1	0	92.30	61.59	61.59	36.00
35	1	0	92.30	61.59	61.59	36.00
45	1	0	97.60	78.40	72.40	37.30
55	1	0	97.80	78.20	76.00	38.70
65	1	0	94.70	72.60	65.80	34.80
75	1	0	86.50	55.50	42.90	19.90
25	5	1	84.70	57.90	51.50	14.20
35	5	1	84.70	57.90	50.08	16.08
45	5	1	84.70	57.90	50.79	13.97
55	5	1	84.70	57.90	51.50	14.20
65	5	1	87.60	54.70	51.50	15.40
75	5	1	81.20	53.99	48.00	15.40
25	5	0	86.50	52.34	43.00	8.30
35	5	0	81.64	52.34	42.49	11.22
45	5	0	86.50	52.34	43.00	8.30
55	5	0	86.50	48.26	43.00	8.30
65	5	0	81.00	44.80	18.10	8.30
75	5	0	67.60	27.30	18.10	8.30
25	10	1	72.92	49.85	43.12	13.84
35	10	1	73.55	50.47	43.74	12.98
45	10	1	74.17	51.10	44.37	12.98
55	10	1	75.42	47.09	44.34	12.23
65	10	1	69.91	46.48	27.38	13.26
75	10	1	60.01	29.27	27.38	13.26
25	10	0	76.29	48.92	40.19	7.76
35	10	0	76.29	48.92	40.19	7.76
45	10	0	80.68	48.92	40.19	7.76
55	10	0	80.84	45.10	40.19	7.76
65	10	0	75.70	41.87	16.92	7.76
75	10	0	63.18	25.51	11.03	7.76
