"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"
"1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"20"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"21"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"25"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"26"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"27"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"28"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"29"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"30"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"31"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"32"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"33"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"34"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"35"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"36"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"37"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"38"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"39"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"40"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"41"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"42"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"43"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"44"	61.59	59.2775	56.965	54.6525	52.34	51.656	50.972	50.288	49.604	48.92
"45"	78.4	71.885	65.37	58.855	52.34	51.656	50.972	50.288	49.604	48.92
"46"	78.4	71.885	65.37	58.855	52.34	51.656	50.972	50.288	49.604	48.92
"47"	78.4	71.885	65.37	58.855	52.34	51.656	50.972	50.288	49.604	48.92
"48"	78.4	71.885	65.37	58.855	52.34	51.656	50.972	50.288	49.604	48.92
"49"	78.4	71.885	65.37	58.855	52.34	51.656	50.972	50.288	49.604	48.92
"50"	78.4	71.885	65.37	58.855	52.34	51.656	50.972	50.288	49.604	48.92
"51"	78.4	71.885	65.37	58.855	52.34	51.656	50.972	50.288	49.604	48.92
"52"	78.4	71.885	65.37	58.855	52.34	51.656	50.972	50.288	49.604	48.92
"53"	78.4	71.885	65.37	58.855	52.34	51.656	50.972	50.288	49.604	48.92
