"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91" "V92" "V93" "V94" "V95" "V96" "V97" "V98" "V99" "V100"
"TOTAL_COSTS" 47.2715470503104 21.7772752541461 38.3322187595214 22.3714997784507 43.3282740119671 63.7507288828574 23.2847968974922 46.0019019660035 21.8186608060974 30.0153329902062 52.6806579560093 30.2425175469226 25.1035669323382 27.8560464627471 24.4007687184737 38.7871809994644 48.8986925331364 32.3770572842251 11.3051747939338 40.7201174884172 52.5285030892247 36.8289474934515 29.5018188872897 22.2575808485274 28.4713076473305 50.8662870835497 20.75741339905 26.3422730328333 47.9270343286908 47.5321390585488 15.8975246787515 27.5407719234004 16.2492531405356 37.6195360090603 30.0177298262102 34.7894357463327 45.9504844163574 40.4069313574254 46.7970485658256 35.0974080463147 15.1817712935399 24.1522447551049 36.9198598948327 28.7282070936749 27.440277681049 37.4135309064258 43.8085380209178 38.5274942036649 36.9176581085823 39.0998519149247 24.501861801158 22.2170485715408 29.0837310440461 52.7239147535859 40.2264777727721 30.0217963145817 45.2567993636823 34.8907154993653 42.3425529809187 53.355227765393 59.0926196753882 32.1724154884548 21.840779104333 24.8100083429311 54.7605894880984 43.9578803576865 39.273575492795 20.0751860719633 35.7967414709338 41.7809895114849 20.6968910153818 41.3813660557824 42.8264632859037 21.4043471991178 29.7230200947459 23.5466771163177 34.3843327806645 25.2507941870776 50.8507528741924 55.221721030782 32.6890155966199 64.1591106129462 22.8658910667164 41.4723765049835 35.3209645674566 22.0511877103973 28.6437722919195 41.2845258732023 26.1803742987309 31.3312630083844 35.6532030537193 38.785922045924 24.0401003861715 25.2744209891485 34.0902700696666 48.0928572305492 38.2871959914718 32.6344624587871 18.5106411805998 11.2348806254627
"BC_COSTS" 47.2715470503104 21.7772752541461 38.3322187595214 22.3714997784507 43.3282740119671 63.7507288828574 23.2847968974922 46.0019019660035 21.8186608060974 30.0153329902062 52.6806579560093 30.2425175469226 25.1035669323382 27.8560464627471 24.4007687184737 38.7871809994644 48.8986925331364 32.3770572842251 11.3051747939338 40.7201174884172 52.5285030892247 36.8289474934515 29.5018188872897 22.2575808485274 28.4713076473305 50.8662870835497 20.75741339905 26.3422730328333 47.9270343286908 47.5321390585488 15.8975246787515 27.5407719234004 16.2492531405356 37.6195360090603 30.0177298262102 34.7894357463327 45.9504844163574 40.4069313574254 46.7970485658256 35.0974080463147 15.1817712935399 24.1522447551049 36.9198598948327 28.7282070936749 27.440277681049 37.4135309064258 43.8085380209178 38.5274942036649 36.9176581085823 39.0998519149247 24.501861801158 22.2170485715408 29.0837310440461 52.7239147535859 40.2264777727721 30.0217963145817 45.2567993636823 34.8907154993653 42.3425529809187 53.355227765393 59.0926196753882 32.1724154884548 21.840779104333 24.8100083429311 54.7605894880984 43.9578803576865 39.273575492795 20.0751860719633 35.7967414709338 41.7809895114849 20.6968910153818 41.3813660557824 42.8264632859037 21.4043471991178 29.7230200947459 23.5466771163177 34.3843327806645 25.2507941870776 50.8507528741924 55.221721030782 32.6890155966199 64.1591106129462 22.8658910667164 41.4723765049835 35.3209645674566 22.0511877103973 28.6437722919195 41.2845258732023 26.1803742987309 31.3312630083844 35.6532030537193 38.785922045924 24.0401003861715 25.2744209891485 34.0902700696666 48.0928572305492 38.2871959914718 32.6344624587871 18.5106411805998 11.2348806254627
"SCREEN_COSTS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"QALYS" 18.1711266859752 18.1189212537685 18.1445339819748 18.1301725150253 18.1275076945441 18.0955338451854 18.123883357739 18.1457267800916 18.1560847107329 18.1755586142649 18.1511081111471 18.1640653265913 18.1648289025954 18.1339611689368 18.1790847237864 18.1346941707631 18.1649858394771 18.1520343022693 18.2183523611421 18.1686277234314 18.1838565827927 18.1956642853713 18.2256268555445 18.1321642211939 18.1039896197489 18.1668881203498 18.1465580887996 18.1257494390445 18.2007710622938 18.141685157876 18.2168600855499 18.1548447898706 18.142394823608 18.1540112185084 18.1037508523807 18.1390920943101 18.1395976838228 18.1697151072518 18.1550221262766 18.1807956550981 18.1542100275896 18.1541639034838 18.1413784723638 18.1472946136191 18.1204583317043 18.1300485936726 18.1437048315534 18.1607847481828 18.1639166567803 18.0901072431797 18.14812433683 18.081721774211 18.1229483146434 18.1006996696936 18.1374935518634 18.1693467746266 18.1298750295586 18.2176552548904 18.1754067146607 18.1755962343595 18.1662602252633 18.2206596527036 18.1032515571748 18.0939110741487 18.1100543408728 18.1423224363468 18.132434570213 18.1520071593001 18.1900638485873 18.199345552803 18.1886465437048 18.1715212030963 18.1654860472147 18.1660246095296 18.2036285997669 18.1239364407087 18.1675660418044 18.143570467141 18.144123050259 18.1675026190301 18.1719008576254 18.1439350650728 18.1628752656458 18.1294104799246 18.1933969146986 18.1742822822588 18.1589473104568 18.1945853447423 18.1396967445599 18.1731423010377 18.1913827991885 18.1594473746074 18.1136499923729 18.1524739552276 18.1425467545846 18.1790090150018 18.1215650064521 18.145198946049 18.0762164983456 18.0772041671598
"LYS" 23.4312848465584 23.3755675478663 23.412839242474 23.3960497993018 23.4094799708015 23.3529497619492 23.3626525648773 23.4189580160948 23.4341271113784 23.4734328898151 23.4227523820397 23.4250731225351 23.4193452604117 23.3745788881394 23.4366572984607 23.3990195029713 23.4327125351633 23.4054330623449 23.5004395245143 23.4475586689909 23.4480847881754 23.470932605867 23.4810964269525 23.3929960672465 23.3679097665389 23.4373742053465 23.3944841649388 23.3773519513183 23.4756930990534 23.4199791567796 23.4816832968024 23.4013012418685 23.4083347914071 23.413032085593 23.3672199485905 23.4029495345467 23.3623687098194 23.4432886833327 23.4398698501819 23.4311978313588 23.4353569325735 23.3875399970889 23.3975385854432 23.3864754951208 23.3562183741069 23.3940506426953 23.3971663410476 23.4224048795511 23.4396625372153 23.3215600941298 23.3928503096764 23.3429953015776 23.3933940150252 23.3697736853209 23.4076054660591 23.4736880888012 23.3750352837752 23.4907688464941 23.4101426255592 23.4438479930877 23.458492336627 23.5485306208355 23.3716669652549 23.3547527355311 23.3659455353569 23.4142785816104 23.4072555025287 23.4207717121972 23.4395146611869 23.4621324705141 23.4754292562242 23.4460458532701 23.4235186690348 23.4457565254592 23.4893017236214 23.3884789683115 23.4535345482698 23.3934601641544 23.4060019724818 23.4573923789476 23.4405502114254 23.3966771648491 23.4201415095447 23.4169431882704 23.468746457584 23.4419047769385 23.4252734164835 23.4691753691179 23.4121926557625 23.4368991460621 23.4813922047152 23.3846897701673 23.3864588519177 23.4124918250042 23.4051488552764 23.4832256702554 23.3711222366758 23.3861964319192 23.3318670412874 23.3352864858444
"LG_SYMPT" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HG_St1_SYMPT" 0.0154393327246618 0.00556280207687306 0.00690277981282462 0.00629228245412406 0.00856358144161759 0.0127054480454852 0.00699720462727347 0.0129380442763167 0.00651313492340806 0.00684282603230809 0.0145532394208513 0.0083354892333373 0.00914779710212492 0.0062033663314482 0.00594625118682443 0.00808150488548569 0.0159665230971706 0.00936935823713829 0.00257805776206842 0.0102851942488327 0.0215567308358679 0.00833629838131105 0.0068937626090038 0.00626084108723322 0.00939304515960295 0.0201250547418699 0.003927836547341 0.0062987563019273 0.0105520139914134 0.0145943033466202 0.00383185230120359 0.00774072698874783 0.00610874280820955 0.00731131624984426 0.00672859856033413 0.0079359001890053 0.0108228972460645 0.00896051244392018 0.0101947183163561 0.00785742242597945 0.00356180836473143 0.006015777168713 0.00951734434052222 0.00652973858896335 0.00759737612923198 0.00969624925382334 0.0108343335957258 0.010847296891551 0.0104932861601081 0.0101228813966866 0.00647137593638174 0.0078160009407264 0.00940824815210731 0.0098954725757575 0.00913366640748954 0.00828242241495833 0.016287753023855 0.00816699412773341 0.00837142329949183 0.0132545597684069 0.0147158752469512 0.00837073510325736 0.00560750636016988 0.0060721138530178 0.0145295031315718 0.0122091472270775 0.00711879937219408 0.0060310929622285 0.00700058652362143 0.00886258895112176 0.0060999718796355 0.0145728187312808 0.0128541892450198 0.00419830196187266 0.00705201044636148 0.00641093758310727 0.00725805390635576 0.00979307230333244 0.0128879323407743 0.0147467534485724 0.00505749049521792 0.0175705038484032 0.00591585784865044 0.0136327506312608 0.0100368903931746 0.00764923570846795 0.00623297540245271 0.0122705842363845 0.00652974485252839 0.00968736350285139 0.00825616142551484 0.00771629244263733 0.00666219265508722 0.0070168066516214 0.00927149158165157 0.0153945091001552 0.00999939986122653 0.00905238784745863 0.00418750432300744 0.00321099535499896
"HG_St2_SYMPT" 0.00474488357398027 0.0017810793791546 0.00260333622286187 0.0012413300325009 0.00291823100591335 0.00483350659928361 0.00228709745270269 0.00426148258893567 0.00165562565585886 0.00262248008701226 0.00475542385063141 0.00290042256929323 0.00258114026519718 0.00356521576697361 0.00283484617988186 0.0034561885588644 0.00516089851968427 0.00292408375464063 0.00111384043726078 0.0040929732960913 0.00611405906309849 0.00401709114749886 0.00244965805377568 0.00364335773467387 0.00259721986781712 0.00547226781456081 0.00230666353615466 0.00238167279119056 0.00349380455039711 0.00427341683008032 0.00084389195111295 0.00342802161100086 0.000513061262917509 0.00242511615004916 0.00183573729071553 0.00286980215371786 0.0041139686274067 0.00359564477852297 0.00312078273768719 0.00229007940531681 0.000890625166728143 0.00122524576309869 0.00432238609254134 0.00308165649284251 0.00231218106043169 0.00353461517155333 0.00348349600881663 0.00327952063429161 0.00352004709142355 0.00290102761605306 0.00247162321856116 0.00259399985215849 0.00346121475054614 0.00468725121876199 0.00243471071441195 0.00309299347513453 0.00490086934950563 0.00242620237258069 0.00378075568835134 0.00371254305891127 0.00671475465934724 0.00345293448483917 0.0016683722910584 0.00280293929628639 0.00419065526707592 0.00352587044068915 0.00271547108026228 0.00151096919689429 0.00450728749019675 0.00413294236360362 0.00216180678011268 0.0043535645756674 0.00461036599201556 0.0022516572954964 0.00247299322976836 0.00228182372818032 0.00313188565800466 0.00374006151664949 0.00323596738764687 0.00414328879765198 0.00178927006392646 0.00500977788829568 0.00186470744302395 0.00516503386813602 0.00312806464901729 0.000959607300279234 0.00283531616967892 0.0037877187781661 0.00218497708558005 0.00229118540691771 0.00245412811557745 0.00418691185759232 0.00243412533782889 0.00195208501915156 0.00345582805866177 0.00233509861764272 0.00388889734942758 0.00234429908310213 0.00276292969647116 0.00118725649184953
"HG_St3_SYMPT" 0.00283022012330695 0.00110805562223443 0.00142202037492436 0.00181842795992442 0.00325669980646838 0.00375587707104873 0.000539684014791236 0.0012120792714901 0.00160294134665643 0.00112217169498561 0.00245795219425539 0.00088790662195347 0.000430912361742074 0.000297467332810313 0.00083427416250377 0.00133710530845712 0.00208297970023306 0.0018622414352076 0.000281513260362149 0.00198030945134974 0.00327773508515571 0.00143772864522941 0.000460028137149518 0.000738344571346465 0.0010127830132819 0.00341046302655686 0.000659408051298863 0.000128908037403533 0.00205267098969306 0.0010784435939845 0.000427606370961264 0.00226941588756425 0.000635827838654998 0.00150599357695126 0.00165469322831518 0.00139099635713217 0.00144686753199184 0.00101975514705316 0.00263713565455869 0.00100368858389919 0.00110622710546247 0.00126424100456614 0.00134057973047454 0.00120057039363171 0.00128613301760922 0.00149448278567199 0.00273178054808903 0.00185966570580149 0.00199459894941546 0.00149265762881644 0.00174121231127823 0.00114742894689558 0.000661897896558318 0.00244079909656552 0.00109403462354884 0.000495194192952589 0.00114439190882799 0.00145022664599663 0.00123025640754068 0.0020865941339045 0.00292604205519252 0.00131451739838646 0.00124039011747007 0 0.00325612983502407 0.00182869096431203 0.00226056348090136 0.00103975208908427 0.00147914982465639 0.00328914052151635 0.000681731567163772 0.00204147944128949 0.00177994813856223 0.00097749117847584 0.00185698094260538 0.00102699685615627 0.00252626004990179 0.000672611883034916 0.00169819969886255 0.00226530006039212 0.00108423163037879 0.00196421260662668 0.00102213084149641 0.000582740794515244 0.00210348625970591 0.00077078544455903 0.00149807393933783 0.00138997482747198 0.000140646235542281 0.00144778088324827 0.0026632492418604 0.00183439880399782 0.000282123157245417 0.000622270765451741 0.00148112046915164 0.00398448629575369 0.00164651154625964 0.00181601151971785 0.000809348692029445 0.000369272468655989
"HG_St4_SYMPT" 0.00860947904248401 0.00441175681532126 0.00839923207004076 0.00452617636182172 0.00591986417896864 0.0111652971383185 0.00471278774408829 0.00906417673410604 0.00380953089414844 0.00517307535565973 0.00921132430874391 0.0056008108655404 0.00248630378105603 0.00626138968807694 0.00392516553596937 0.00944692558514689 0.00618179603244815 0.00647786097494781 0.00156412012825448 0.00748935033036228 0.00715840185850762 0.00665972080537511 0.00415640329512173 0.00440226679173103 0.00401917517268466 0.0039672199611733 0.00312953375451277 0.00472425630155962 0.00731404463542224 0.00792475560498292 0.00249576876305162 0.00512036672046478 0.00339253219463663 0.0073656290583095 0.00711865841819418 0.00567497111883193 0.0113850711674177 0.00779894217894919 0.00884097104102649 0.00559564669486681 0.00274116939005082 0.00498519754887386 0.00558859528958815 0.00643429391237868 0.00514106501280388 0.00756594331388678 0.00705002019671613 0.00668375316579955 0.00391393684653419 0.00783110511557605 0.00482426538589847 0.00472450575878764 0.00349145784919202 0.00980736782431824 0.0101314942884034 0.00653946682109716 0.008639590622791 0.00544591982146191 0.00900558388207135 0.0113771972846279 0.0136202091245728 0.00544168256589431 0.00373853452121369 0.00668166946868171 0.0117808187369744 0.00848711291493892 0.00730322278934239 0.00261864550197317 0.00869955847918408 0.00724792838190747 0.00234093219555469 0.00468931469212699 0.00964685948468673 0.00261632431453964 0.00570407008245517 0.00502263016446935 0.00553277682431498 0.00507839098152836 0.012433548943824 0.00955844488510151 0.00615829106568297 0.0138096058812519 0.00571109556727538 0.00494304519862576 0.00774363418233365 0.0040496708839731 0.00583544884094905 0.00791946421189997 0.00388154790768538 0.00545034728709817 0.00789136319102406 0.00764191938367321 0.00490772133224586 0.00458588298513852 0.0078702598719056 0.01126358927 0.00566037780496224 0.00623334125924529 0.00234806743486413 0.00233313856168008
